# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
59000 -8.88178e-16 1.11022e-14 2.13163e-14 -8.58788e-21 1.07348e-19 2.06109e-19
60000 -8.99281e-15 -1.02141e-14 -2.66454e-14 -8.69523e-20 -9.87606e-20 -2.57636e-19
61000 1.24345e-14 -1.33227e-14 1.77636e-15 1.2023e-19 -1.28818e-19 1.71758e-20
62000 1.04361e-14 2.66454e-15 1.37668e-14 1.00908e-19 2.57636e-20 1.33112e-19
63000 -8.88178e-15 -5.10703e-15 -6.66134e-15 -8.58788e-20 -4.93803e-20 -6.44091e-20
64000 -8.65974e-15 -2.66454e-14 -4.44089e-15 -8.37318e-20 -2.57636e-19 -4.29394e-20
65000 -1.77636e-15 -8.88178e-15 1.19904e-14 -1.71758e-20 -8.58788e-20 1.15936e-19
66000 5.32907e-15 7.10543e-15 -2.04281e-14 5.15273e-20 6.8703e-20 -1.97521e-19
67000 4.44089e-15 6.99441e-15 1.44329e-14 4.29394e-20 6.76295e-20 1.39553e-19
68000 6.21725e-15 -3.55271e-15 8.65974e-15 6.01152e-20 -3.43515e-20 8.37318e-20
69000 8.43769e-15 -7.54952e-15 -1.24345e-14 8.15849e-20 -7.2997e-20 -1.2023e-19
70000 8.43769e-15 -1.33227e-15 7.54952e-15 8.15849e-20 -1.28818e-20 7.2997e-20
71000 -5.77316e-15 -2.16493e-15 1.77636e-14 -5.58212e-20 -2.0933e-20 1.71758e-19
72000 1.33227e-15 -8.32667e-15 7.77156e-15 1.28818e-20 -8.05114e-20 7.51439e-20
73000 -4.44089e-16 -1.37668e-14 9.54792e-15 -4.29394e-21 -1.33112e-19 9.23197e-20
74000 2.22045e-15 2.22045e-15 -8.88178e-15 2.14697e-20 2.14697e-20 -8.58788e-20
75000 3.77476e-15 -3.9968e-15 -1.68754e-14 3.64985e-20 -3.86455e-20 -1.6317e-19
76000 3.55271e-15 -1.59872e-14 -1.5099e-14 3.43515e-20 -1.54582e-19 -1.45994e-19
77000 7.10543e-15 1.77636e-15 1.24345e-14 6.8703e-20 1.71758e-20 1.2023e-19
78000 8.88178e-16 1.46549e-14 1.77636e-15 8.58788e-21 1.417e-19 1.71758e-20
79000 1.31006e-14 1.66533e-15 -2.88658e-15 1.26671e-19 1.61023e-20 -2.79106e-20
80000 -2.14273e-14 1.27676e-14 1.22125e-14 -2.07183e-19 1.23451e-19 1.18083e-19
81000 1.77636e-15 -1.9984e-15 -3.10862e-15 1.71758e-20 -1.93227e-20 -3.00576e-20
82000 -1.77636e-15 -2.22045e-15 -9.76996e-15 -1.71758e-20 -2.14697e-20 -9.44667e-20
83000 -8.10463e-15 -3.9968e-15 -7.10543e-15 -7.83644e-20 -3.86455e-20 -6.8703e-20
84000 -1.77636e-15 -1.19904e-14 -1.77636e-15 -1.71758e-20 -1.15936e-19 -1.71758e-20
85000 -2.04281e-14 8.88178e-15 2.02061e-14 -1.97521e-19 8.58788e-20 1.95374e-19
86000 3.55271e-15 1.19904e-14 -1.90958e-14 3.43515e-20 1.15936e-19 -1.84639e-19
87000 -1.06581e-14 1.82077e-14 0 -1.03055e-19 1.76052e-19 0
88000 1.28786e-14 -1.33227e-15 -9.54792e-15 1.24524e-19 -1.28818e-20 -9.23197e-20
89000 1.37668e-14 3.55271e-15 -7.21645e-15 1.33112e-19 3.43515e-20 -6.97765e-20
90000 1.5099e-14 1.9984e-15 9.76996e-15 1.45994e-19 1.93227e-20 9.44667e-20
91000 8.65974e-15 -5.10703e-15 6.10623e-16 8.37318e-20 -4.93803e-20 5.90417e-21
92000 -7.99361e-15 -8.88178e-16 5.44009e-15 -7.72909e-20 -8.58788e-21 5.26008e-20
93000 -7.10543e-15 2.22045e-15 -8.88178e-15 -6.8703e-20 2.14697e-20 -8.58788e-20
94000 8.88178e-15 -1.88738e-15 9.32587e-15 8.58788e-20 -1.82492e-20 9.01727e-20
95000 -5.77316e-15 1.66533e-15 -7.99361e-15 -5.58212e-20 1.61023e-20 -7.72909e-20
96000 6.66134e-16 -1.02141e-14 6.55032e-15 6.44091e-21 -9.87606e-20 6.33356e-20
97000 5.32907e-15 -8.88178e-15 1.11022e-15 5.15273e-20 -8.58788e-20 1.07348e-20
98000 2.66454e-15 4.88498e-15 -1.33227e-15 2.57636e-20 4.72333e-20 -1.28818e-20
99000 1.08802e-14 6.21725e-15 -7.54952e-15 1.05202e-19 6.01152e-20 -7.2997e-20
100000 -1.08802e-14 7.10543e-15 4.44089e-16 -1.05202e-19 6.8703e-20 4.29394e-21
101000 1.11022e-14 -3.55271e-15 -1.28786e-14 1.07348e-19 -3.43515e-20 -1.24524e-19
102000 -9.99201e-15 7.10543e-15 -1.55431e-14 -9.66136e-20 6.8703e-20 -1.50288e-19
103000 1.24345e-14 2.66454e-15 1.46549e-14 1.2023e-19 2.57636e-20 1.417e-19
104000 -1.62093e-14 5.32907e-15 -1.02141e-14 -1.56729e-19 5.15273e-20 -9.87606e-20
105000 2.22045e-15 -7.10543e-15 9.54792e-15 2.14697e-20 -6.8703e-20 9.23197e-20
106000 -1.77636e-15 -4.88498e-15 -5.32907e-15 -1.71758e-20 -4.72333e-20 -5.15273e-20
107000 -3.10862e-15 -2.88658e-15 8.43769e-15 -3.00576e-20 -2.79106e-20 8.15849e-20
108000 -8.77076e-15 -6.66134e-15 5.32907e-15 -8.48053e-20 -6.44091e-20 5.15273e-20
109000 -1.53211e-14 -1.24345e-14 -8.88178e-15 -1.48141e-19 -1.2023e-19 -8.58788e-20
110000 4.88498e-15 2.22045e-15 3.55271e-15 4.72333e-20 2.14697e-20 3.43515e-20
111000 3.10862e-15 6.21725e-15 -8.88178e-16 3.00576e-20 6.01152e-20 -8.58788e-21
112000 8.88178e-16 5.32907e-15 -8.88178e-16 8.58788e-21 5.15273e-20 -8.58788e-21
113000 4.16334e-15 5.32907e-15 -1.46549e-14 4.02557e-20 5.15273e-20 -1.417e-19
114000 0 -4.44089e-15 1.77636e-15 0 -4.29394e-20 1.71758e-20
115000 1.55431e-15 6.66134e-15 -8.21565e-15 1.50288e-20 6.44091e-20 -7.94379e-20
116000 -9.76996e-15 8.99281e-15 -8.65974e-15 -9.44667e-20 8.69523e-20 -8.37318e-20
117000 4.88498e-15 8.43769e-15 -9.76996e-15 4.72333e-20 8.15849e-20 -9.44667e-20
118000 -4.88498e-15 3.88578e-15 1.57652e-14 -4.72333e-20 3.7572e-20 1.52435e-19
119000 4.44089e-15 3.55271e-15 -8.88178e-15 4.29394e-20 3.43515e-20 -8.58788e-20
120000 5.9952e-15 -1.55431e-15 1.77636e-15 5.79682e-20 -1.50288e-20 1.71758e-20
121000 1.19904e-14 2.66454e-15 -5.32907e-15 1.15936e-19 2.57636e-20 -5.15273e-20
122000 1.77636e-15 4.44089e-15 -1.11022e-14 1.71758e-20 4.29394e-20 -1.07348e-19
123000 -7.54952e-15 -3.33067e-15 -7.32747e-15 -7.2997e-20 -3.22045e-20 -7.085e-20
124000 4.44089e-16 1.88738e-15 -9.76996e-15 4.29394e-21 1.82492e-20 -9.44667e-20
125000 5.77316e-15 -3.10862e-15 7.54952e-15 5.58212e-20 -3.00576e-20 7.2997e-20
126000 3.9968e-15 -8.88178e-15 2.39808e-14 3.86455e-20 -8.58788e-20 2.31873e-19
127000 1.59872e-14 2.77556e-15 -1.33227e-14 1.54582e-19 2.68371e-20 -1.28818e-19
