# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7049.999999999999
  1 0.005 2.64 0.0165404
  2 0.015 5.02 0.031282
  3 0.025 6.62 0.04299
  4 0.035 7.36 0.0462987
  5 0.045 2.97 0.0193583
  6 0.055 2.39 0.0148107
  7 0.065 0 0
  8 0.075 0 0
  9 0.085 0.38 0.00240486
  10 0.095 2.47 0.0155885
  11 0.105 0.15 0.0010378
  12 0.115 0 0
  13 0.125 2.13 0.0134259
  14 0.135 4.9 0.0309519
  15 0.145 5.04 0.0322138
  16 0.155 3.67 0.0236839
  17 0.165 2.26 0.0139113
  18 0.175 0.27 0.00186804
  19 0.185 2.67 0.016748
  20 0.195 3.74 0.0230815
  21 0.205 2.32 0.0153958
  22 0.215 0 0
  23 0.225 0 0
  24 0.235 0 0
  25 0.245 1.49 0.00944637
  26 0.255 1.51 0.00958474
  27 0.265 1.35 0.00858125
  28 0.275 4.64 0.0290323
  29 0.285 3.01 0.0194798
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0 0
  33 0.325 1.07 0.00733396
  34 0.335 49.56 0.315895
  35 0.345 189.66 1.2028
  36 0.355 222.23 1.41033
  37 0.365 237.61 1.50623
  38 0.375 233.13 1.48032
  39 0.385 230.66 1.45802
  40 0.395 230.41 1.46283
  41 0.405 219.49 1.39352
  42 0.415 211.1 1.33925
  43 0.425 214.53 1.36079
  44 0.435 218.15 1.38175
  45 0.445 219.4 1.39187
  46 0.455 217.45 1.37972
  47 0.465 228.5 1.45212
  48 0.475 198.61 1.26083
  49 0.485 196.54 1.24369
  50 0.495 176.73 1.12242
  51 0.505 174.68 1.10882
  52 0.515 176.77 1.11743
  53 0.525 197.35 1.25121
  54 0.535 199.68 1.27254
  55 0.545 215.11 1.36008
  56 0.555 227.39 1.44402
  57 0.565 209.03 1.32636
  58 0.575 216.78 1.37303
  59 0.585 213.33 1.35772
  60 0.595 232.94 1.47511
  61 0.605 226.46 1.43828
  62 0.615 236.87 1.50278
  63 0.625 233.96 1.48589
  64 0.635 236.05 1.49633
  65 0.645 218.65 1.38468
  66 0.655 161.45 1.02379
  67 0.665 30.94 0.197729
  68 0.675 0.73 0.00505062
  69 0.685 0 0
  70 0.695 0 0
  71 0.705 2.75 0.0173532
  72 0.715 3.25 0.020709
  73 0.725 3 0.0190311
  74 0.735 2.29 0.0144121
  75 0.745 2.17 0.0140303
  76 0.755 1.54 0.00961982
  77 0.765 3.77 0.0242722
  78 0.775 4.99 0.0311606
  79 0.785 0.24 0.00166048
  80 0.795 0 0
  81 0.805 0 0
  82 0.815 2.77 0.0174398
  83 0.825 0.62 0.00428956
  84 0.835 4.62 0.0287387
  85 0.845 3.99 0.0256564
  86 0.855 2.93 0.0186848
  87 0.865 4.9 0.0313141
  88 0.875 7.17 0.0451566
  89 0.885 0 0
  90 0.895 0 0
  91 0.905 0.23 0.00159129
  92 0.915 2.75 0.0173015
  93 0.925 4.75 0.0301728
  94 0.935 4.14 0.0261595
  95 0.945 5.97 0.0378892
  96 0.955 3.06 0.0194117
  97 0.965 2.89 0.0182701
  98 0.975 3.19 0.0203457
  99 0.985 0.02 0.000138373
  100 0.995 0 0
2000 100 7049.999999999998
  1 0.005 1.99 0.01244
  2 0.015 6.93 0.0430132
  3 0.025 7.1 0.046104
  4 0.035 3.2 0.0203114
  5 0.045 4.21 0.0268162
  6 0.055 3.57 0.0225953
  7 0.065 0 0
  8 0.075 0 0
  9 0.085 0 0
  10 0.095 1.02 0.00657407
  11 0.105 2.02 0.0127338
  12 0.115 1.75 0.0110037
  13 0.125 4.93 0.0313665
  14 0.135 1.67 0.010571
  15 0.145 3.17 0.0198623
  16 0.155 3.67 0.0242013
  17 0.165 2.77 0.0169051
  18 0.175 1.5 0.00946381
  19 0.185 1.5 0.0095673
  20 0.195 1.97 0.0120946
  21 0.205 2.42 0.0156565
  22 0.215 1.61 0.0103111
  23 0.225 0 0
  24 0.235 1.66 0.0105018
  25 0.245 1.34 0.00852931
  26 0.255 0 0
  27 0.265 0.57 0.00394363
  28 0.275 7.93 0.0496904
  29 0.285 0.5 0.00345933
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0.65 0.00449712
  33 0.325 15.08 0.096606
  34 0.335 116.18 0.73761
  35 0.345 197.23 1.24714
  36 0.355 206.78 1.31542
  37 0.365 206.83 1.31335
  38 0.375 219.28 1.39416
  39 0.385 204.35 1.29114
  40 0.395 229.22 1.45344
  41 0.405 216.47 1.3727
  42 0.415 202.05 1.28349
  43 0.425 216.1 1.37079
  44 0.435 222.77 1.40918
  45 0.445 213.54 1.35584
  46 0.455 220.17 1.39471
  47 0.465 204.95 1.30276
  48 0.475 208.6 1.32575
  49 0.485 200.73 1.27337
  50 0.495 184.65 1.17138
