# Time-averaged data for fix 1
# TimeStep c_pTensor[1] c_pTensor[2] c_pTensor[3]
1000 1180.77 1212.63 1330.79
2000 1006.26 1013 923.962
3000 622.958 567.613 564.906
4000 311.583 267.726 263.086
5000 68.664 43.0421 44.723
6000 -61.1146 -48.8049 -49.4344
7000 -115.578 -192.451 -132.168
8000 -220.533 -260.479 -216.158
9000 -262.17 -282.395 -263.474
10000 -264.959 -301.29 -282.278
11000 -288.653 -306.562 -273.611
12000 -265.222 -277.599 -260.943
13000 -273.7 -315.478 -226.171
14000 -242.686 -260.887 -235.812
15000 -229.788 -258.741 -219.742
16000 -244.262 -229.989 -179.229
17000 -254.282 -245.176 -189.7
18000 -193.738 -204.971 -147.843
19000 -148.549 -151.082 -100.9
20000 -153.138 -165.299 -83.5737
21000 -124.223 -61.3368 -69.293
22000 -50.0399 -57.2885 -13.2549
23000 -36.4204 -11.3491 32.2751
24000 -23.3976 29.5775 55.1091
25000 19.675 25.8783 55.1338
26000 20.4068 31.1242 30.2709
27000 -7.85225 38.8345 48.8047
28000 -17.5425 -1.81586 24.5629
29000 -45.3527 -78.0433 -28.795
30000 -57.5308 -86.8977 -60.9808
31000 -69.0444 -76.8342 -66.856
32000 -33.3687 -56.7257 -58.7209
33000 -40.1927 -41.6128 -68.2466
34000 -20.2477 -92.2009 -19.1787
35000 -39.6383 -30.7575 10.209
36000 -46.5864 -39.734 -3.33214
37000 -3.26424 -27.2704 -28.741
38000 -9.16187 -33.5537 24.3833
39000 8.02328 -30.1219 4.35747
40000 -5.14864 -42.4345 -17.9428
41000 -30.6957 -56.72 -23.255
42000 -29.4189 -34.7745 -53.6486
43000 -52.2302 -72.7144 1.24261
44000 -45.6317 -48.6031 -21.5985
45000 -50.5417 -39.6641 -47.8984
46000 -94.1613 -52.3145 -43.4173
47000 -62.398 -54.7678 -38.7701
48000 -54.5065 -37.1302 -42.7978
49000 -37.5111 -63.273 -69.307
50000 -35.6848 -43.4596 -60.1397
51000 -44.7769 -50.0808 15.8853
52000 -40.7603 -22.4456 -4.44212
53000 -22.0128 -10.3883 -11.9214
54000 -48.0229 25.0391 -36.0978
55000 10.2038 -47.153 29.6229
56000 -84.885 -12.4878 -31.6037
57000 -11.0244 -48.5339 -0.198636
58000 15.3181 -20.758 4.83751
59000 12.8645 -3.36748 30.3635
60000 -16.6434 -61.3578 -67.0027
61000 -30.3804 -25.5601 -14.7987
62000 -50.5746 -29.2199 -2.48095
63000 -12.8594 -8.23534 25.2928
64000 37.6831 -3.26186 28.0844
65000 4.875 6.29951 21.0148
66000 -52.3311 -23.3471 -1.2156
67000 -47.0704 -52.0349 -17.8973
68000 -11.7854 -61.9907 -14.2455
69000 -32.0415 -51.5815 -23.8134
70000 -43.0304 -32.6677 -24.1256
71000 -63.3203 -58.7137 -36.9555
72000 -74.0371 -26.094 -41.6388
73000 -73.2623 -63.1615 -43.6727
74000 -63.3321 -41.2341 -11.6871
75000 -60.6299 -61.0679 3.1866
76000 -72.1669 -53.6378 -14.8321
77000 -3.2465 -15.8244 -1.59544
78000 0.880967 -10.7162 12.785
79000 -0.961359 -24.8908 43.1322
80000 -30.155 -19.1879 29.4921
81000 -66.4244 -64.4417 -32.7155
82000 -85.3301 -75.3138 -20.16
83000 -35.8071 -32.0374 6.53671
84000 -5.18068 -18.3534 -7.46685
85000 -38.6462 -58.7343 -51.0164
86000 -53.17 -68.9561 -30.6205
87000 -33.2537 -40.9677 -3.20699
88000 -28.7119 -29.1247 9.05878
