# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
0 -8.88178e-15 -5.32907e-15 4.44089e-16 -8.58788e-20 -5.15273e-20 4.29394e-21
1000 -9.32587e-15 -3.10862e-15 -2.84217e-14 -9.01727e-20 -3.00576e-20 -2.74812e-19
2000 -5.32907e-15 -2.66454e-15 -4.08562e-14 -5.15273e-20 -2.57636e-20 -3.95042e-19
3000 -7.77156e-16 4.21885e-15 3.55271e-15 -7.51439e-21 4.07924e-20 3.43515e-20
4000 6.66134e-15 5.44009e-15 8.88178e-14 6.44091e-20 5.26008e-20 8.58788e-19
5000 -1.77636e-15 1.42109e-14 -1.77636e-14 -1.71758e-20 1.37406e-19 -1.71758e-19
6000 -3.77476e-15 3.33067e-15 6.03961e-14 -3.64985e-20 3.22045e-20 5.83976e-19
7000 -2.66454e-15 -1.9984e-15 3.90799e-14 -2.57636e-20 -1.93227e-20 3.77867e-19
8000 9.76996e-15 -1.77636e-15 3.55271e-15 9.44667e-20 -1.71758e-20 3.43515e-20
9000 9.99201e-15 3.55271e-15 -6.21725e-14 9.66136e-20 3.43515e-20 -6.01152e-19
10000 2.22045e-15 1.77636e-15 1.06581e-14 2.14697e-20 1.71758e-20 1.03055e-19
11000 -1.19904e-14 -2.66454e-15 -8.88178e-15 -1.15936e-19 -2.57636e-20 -8.58788e-20
12000 -6.66134e-16 -5.32907e-15 4.9738e-14 -6.44091e-21 -5.15273e-20 4.80921e-19
13000 4.32987e-15 -5.66214e-15 -1.77636e-14 4.18659e-20 -5.47477e-20 -1.71758e-19
14000 2.66454e-15 1.28786e-14 2.4869e-14 2.57636e-20 1.24524e-19 2.40461e-19
15000 -1.08802e-14 -1.12688e-14 1.77636e-14 -1.05202e-19 -1.08959e-19 1.71758e-19
16000 1.28786e-14 -1.46549e-14 -1.59872e-14 1.24524e-19 -1.417e-19 -1.54582e-19
17000 8.88178e-16 1.55431e-15 -2.75335e-14 8.58788e-21 1.50288e-20 -2.66224e-19
18000 -1.77636e-15 -1.12133e-14 -3.37508e-14 -1.71758e-20 -1.08422e-19 -3.26339e-19
