# Time-averaged data for fix 1
# TimeStep c_pTensor[1] c_pTensor[2] c_pTensor[3]
160000 -3.42539 -38.8917 25.6013
161000 -34.9752 -22.5947 -11.8844
162000 -36.0804 -26.3206 -10.5193
163000 -12.0357 -34.2524 11.1847
164000 -24.4593 -11.7512 42.7849
165000 -52.5498 -25.3753 22.3908
166000 -4.97985 -25.8226 3.4566
167000 -63.1073 -66.2179 -26.9059
168000 -38.1321 -78.5001 -36.6782
169000 1.5994 -57.0172 7.4464
170000 14.0349 -46.9633 -13.6681
171000 5.51208 -25.986 4.46305
172000 -49.0673 18.9563 13.9667
173000 -13.2401 -7.24257 40.6209
174000 -3.16546 -8.04344 49.3926
175000 -34.5816 -44.1088 11.474
176000 -45.0087 -25.7318 -19.0195
177000 -6.4477 -16.4229 16.4532
178000 -33.0721 -44.8531 -2.76878
179000 -16.6696 -36.366 -6.59155
180000 -67.4375 -53.3899 -13.8568
181000 -34.7025 -15.0758 5.61408
182000 -66.4994 -66.8089 5.06723
183000 -84.9131 -62.5685 43.1541
184000 -32.6844 -5.15408 9.97467
185000 -66.8591 -34.5344 -31.4672
186000 -29.6117 -4.92926 -2.22409
