# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050.000000000001
  1 0.005 2.46 0.0158815
  2 0.015 6.61 0.0410752
  3 0.025 3.19 0.0210528
  4 0.035 6.61 0.0417824
  5 0.045 4.31 0.0273011
  6 0.055 2.73 0.0172321
  7 0.065 0.15 0.0010378
  8 0.075 0 0
  9 0.085 0.81 0.00524189
  10 0.095 2.19 0.0137892
  11 0.105 0 0
  12 0.115 0 0
  13 0.125 2.03 0.0130617
  14 0.135 4.48 0.0283048
  15 0.145 4.19 0.0265226
  16 0.155 3.61 0.0233032
  17 0.165 3.07 0.018929
  18 0.175 0.62 0.00406534
  19 0.185 3.7 0.0238742
  20 0.195 5.01 0.0312128
  21 0.205 0.29 0.00200641
  22 0.215 0 0
  23 0.225 0 0
  24 0.235 0 0
  25 0.245 0 0
  26 0.255 3 0.0190311
  27 0.265 1.09 0.00690314
  28 0.275 4.69 0.0293783
  29 0.285 3.22 0.0208119
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0 0
  33 0.325 0.03 0.00020756
  34 0.335 9.47 0.0624322
  35 0.345 108.82 0.688603
  36 0.355 210.95 1.33751
  37 0.365 225.96 1.43348
  38 0.375 241.18 1.53424
  39 0.385 237.51 1.50205
  40 0.395 237.73 1.50627
  41 0.405 219.15 1.39045
  42 0.415 231.18 1.4673
  43 0.425 207.2 1.31893
  44 0.435 243.68 1.54041
  45 0.445 238.05 1.51074
  46 0.455 240.15 1.52494
  47 0.465 225.61 1.43088
  48 0.475 198.7 1.26495
  49 0.485 215.35 1.36166
  50 0.495 186.99 1.1865
  51 0.505 172.25 1.09056
  52 0.515 200.99 1.27841
  53 0.525 217.46 1.37824
  54 0.535 220.85 1.4049
  55 0.545 246.16 1.55838
  56 0.555 236.3 1.50018
  57 0.565 233.91 1.48411
  58 0.575 231.46 1.47132
  59 0.585 243.74 1.54055
  60 0.595 227.04 1.44357
  61 0.605 235.56 1.49382
  62 0.615 237.92 1.51286
  63 0.625 245.67 1.55039
  64 0.635 225.65 1.43314
  65 0.645 181.1 1.14882
  66 0.655 65.9 0.418752
  67 0.665 3.33 0.0210383
  68 0.675 0 0
  69 0.685 0 0
  70 0.695 0 0
  71 0.705 1.28 0.00851091
  72 0.715 6.03 0.0378558
  73 0.725 1.69 0.0107266
  74 0.735 2.36 0.0148619
  75 0.745 0.89 0.00589887
  76 0.755 2.75 0.0173015
  77 0.765 1.54 0.00974056
  78 0.775 6.26 0.0395679
  79 0.785 1.2 0.00778493
  80 0.795 0 0
  81 0.805 0 0
  82 0.815 0.96 0.00646942
  83 0.825 2.04 0.0125617
  84 0.835 1.98 0.0127503
  85 0.845 5.02 0.0322306
  86 0.855 5.17 0.0323198
  87 0.865 6.27 0.0401373
  88 0.875 5.56 0.034811
  89 0.885 0 0
  90 0.895 0 0
  91 0.905 0 0
  92 0.915 2.54 0.016366
  93 0.925 6.47 0.0407965
  94 0.935 5.79 0.0371095
  95 0.945 3.72 0.0234261
  96 0.955 4.89 0.0304688
  97 0.965 2.04 0.0133379
  98 0.975 1.55 0.00977525
  99 0.985 0 0
  100 0.995 0.94 0.00591709
2000 100 7049.999999999999
  1 0.005 3.39 0.0211429
  2 0.015 3.47 0.0220759
  3 0.025 2.89 0.0185288
  4 0.035 4.93 0.03147
  5 0.045 3.13 0.0198443
  6 0.055 3.04 0.0192734
  7 0.065 2.21 0.0139448
  8 0.075 0 0
  9 0.085 0.19 0.00131454
  10 0.095 2.81 0.0177166
  11 0.105 0 0
  12 0.115 1.34 0.00868455
  13 0.125 4.45 0.0279248
  14 0.135 0.21 0.00145292
  15 0.145 2.26 0.0139458
  16 0.155 2.99 0.0194794
  17 0.165 2.56 0.0159352
  18 0.175 2.85 0.0182175
  19 0.185 7.21 0.0459681
  20 0.195 3.13 0.0196718
  21 0.205 0 0
  22 0.215 0 0
  23 0.225 0 0
  24 0.235 0 0
  25 0.245 0 0
  26 0.255 3 0.0190311
  27 0.265 0.47 0.00325177
  28 0.275 7.98 0.0500363
  29 0.285 0.55 0.00380526
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0 0
  33 0.325 4.14 0.0270391
  34 0.335 53.23 0.339837
  35 0.345 160.74 1.01594
  36 0.355 196.13 1.2451
  37 0.365 219.03 1.38634
  38 0.375 209.1 1.33363
  39 0.385 221.68 1.40554
  40 0.395 223.36 1.41369
  41 0.405 214.57 1.36235
  42 0.415 225.63 1.42924
  43 0.425 209.22 1.3302
  44 0.435 237.63 1.5023
  45 0.445 220.79 1.40429
  46 0.455 231.4 1.46585
  47 0.465 218.25 1.38764
  48 0.475 215.42 1.3639
  49 0.485 212.57 1.35049
  50 0.495 201.39 1.2768
  51 0.505 189.1 1.19789
  52 0.515 217.04 1.3778
  53 0.525 223.24 1.41654
  54 0.535 221.44 1.40617
  55 0.545 226.34 1.43719
  56 0.555 233.32 1.47567
  57 0.565 221.6 1.40926
  58 0.575 225.27 1.43094
  59 0.585 231.85 1.46552
  60 0.595 215.12 1.36622
  61 0.605 223.27 1.41561
  62 0.615 219.12 1.38864
  63 0.625 210.33 1.34034
  64 0.635 217.08 1.37325
  65 0.645 200.14 1.26663
  66 0.655 125.31 0.796534
  67 0.665 28.11 0.179529
  68 0.675 1.04 0.00669519
  69 0.685 0 0
  70 0.695 0 0
  71 0.705 2.36 0.0152759
  72 0.715 5.58 0.0350529
  73 0.725 3.61 0.0228893
  74 0.735 0.45 0.00290641
  75 0.745 0 0
  76 0.755 2.75 0.0173015
  77 0.765 0.25 0.00172966
  78 0.775 1.25 0.00790663
  79 0.785 5.32 0.0336853
  80 0.795 1.78 0.0114355
