# Time-averaged data for fix 1
# TimeStep c_pTensor[1] c_pTensor[2] c_pTensor[3]
1000 1087.29 1106.16 1214.47
2000 833.473 871.625 830.825
3000 456.687 459.644 427.327
4000 240.888 183.622 214.622
5000 32.8819 12.9331 25.2293
6000 -88.7756 -95.3145 -57.5358
7000 -187.384 -142.091 -130.148
8000 -228.399 -213.525 -212.19
9000 -264.883 -271.458 -221.74
10000 -247.392 -252.894 -232.686
11000 -257.689 -255.344 -228.06
12000 -219.927 -233.173 -209.209
13000 -252.097 -283.606 -234.96
14000 -250.99 -242.546 -205.991
15000 -260.508 -244.963 -242.22
16000 -231.141 -210.725 -175.213
17000 -212.461 -198.451 -161.002
18000 -173.672 -147.967 -134
19000 -110.996 -148.083 -115.464
20000 -100.323 -118.39 -83.3788
21000 -69.0423 -62.7025 -48.2726
22000 -46.328 -57.0527 -10.7186
23000 -20.2207 -23.6888 -13.6206
24000 4.6486 6.4521 31.4179
25000 0.598668 5.03556 7.02519
26000 -29.9167 32.6971 6.86254
27000 -19.1349 -0.228809 29.1166
28000 -39.2124 -48.2925 20.7458
29000 -94.9069 -92.5665 -73.9268
30000 -55.1444 -74.7757 -109.275
31000 -70.465 -60.9814 -51.8683
32000 -57.9675 -63.9246 -57.093
33000 -97.1534 -73.2906 -51.5823
34000 -56.7951 -58.5904 -25.7152
35000 -48.8674 -47.6116 -50.1246
36000 -41.4691 -13.779 -24.0621
37000 -39.3162 -25.5963 -4.85456
38000 -37.7122 -18.0131 -20.7265
39000 -35.619 -52.8249 12.3402
40000 -23.1283 -28.9689 -27.0753
41000 -8.05807 -26.536 5.0874
42000 -45.1579 -37.9846 -37.9735
43000 -91.9996 -23.7464 -51.8629
44000 -44.6338 -76.9674 -56.2445
45000 -81.5006 -93.4543 -70.5336
46000 -63.9561 -52.5103 -56.2424
47000 -39.2852 -60.4547 -45.3929
48000 -66.2422 -90.9623 -51.125
49000 -87.5591 -43.4261 -57.8664
50000 -60.3248 -42.1369 -31.1515
51000 -42.1095 -63.9294 -40.8108
52000 -12.7866 -12.9166 -17.0665
53000 -7.36874 -10.945 9.03524
54000 -51.2192 -33.3779 28.4168
55000 -5.79667 -16.9165 -20.1896
56000 -37.7382 -41.7977 -56.3546
57000 -19.2957 -57.2182 -23.7132
58000 -21.5402 -10.0318 22.1679
59000 -40.5527 -26.6746 -2.12133
60000 -50.2251 -53.1538 -21.3216
61000 -39.1777 -16.6348 -32.906
62000 -52.5343 -61.3358 -20.4371
63000 -27.6569 -29.4664 -2.12342
64000 -22.6649 -16.443 43.5731
65000 -62.9185 -26.4271 -17.525
66000 -58.6788 -100.401 -60.0105
67000 -46.9654 -52.1757 -43.3777
68000 -52.6025 -63.0573 -10.9107
69000 -34.3537 -63.3665 -55.1802
70000 -27.4218 -18.8979 -10.9725
71000 -51.2137 -24.4735 -22.3833
72000 -55.1853 -56.4548 -14.9908
73000 -41.1899 -17.9408 -16.745
74000 -36.6494 8.77317 -26.7744
75000 -31.6481 -22.0151 -43.7906
76000 -32.3765 -70.667 -8.50477
77000 -75.2023 -65.7177 -11.8412
78000 -16.415 -25.6988 28.7209
79000 -23.8943 -48.0487 -22.6218
80000 -42.1057 -49.6749 -15.3157
81000 -24.5189 -22.8205 10.0833
82000 -27.5769 -18.9487 -11.2877
83000 -35.5766 -17.7064 23.0303
84000 -48.8012 -31.2507 -8.0673
85000 -37.7946 -43.3336 0.931841
86000 -36.4239 -43.499 -28.7321
87000 18.8289 13.8722 11.5792
88000 28.5308 -5.28667 64.4471
89000 8.44613 -19.9779 27.484
90000 43.3307 -8.56846 42.8768
91000 16.7874 5.68219 51.7838
92000 29.309 -5.62292 33.4138
93000 17.4805 22.1366 60.2376
94000 5.98504 -3.41593 73.6118
95000 27.8053 11.0601 5.48512
96000 26.8644 30.7953 20.2731
97000 17.7828 52.9861 67.315
98000 47.8972 83.3626 66.9933
99000 31.711 37.003 84.451
100000 42.9358 94.3503 94.9226
101000 56.6782 66.3396 99.3693
102000 63.6811 72.7291 159.937
103000 34.0549 59.046 72.1876
104000 70.9011 83.2621 130.571
105000 89.1098 77.3719 108.855
106000 42.9987 16.8026 65.3665
107000 63.1639 28.78 77.9764
108000 42.6751 27.7562 43.3306
109000 14.2394 4.75573 -3.38355
110000 18.996 11.5074 -4.09257
111000 35.4465 62.338 6.42527
112000 25.9901 42.0947 -32.3213
113000 -7.92067 16.856 30.7335
114000 -14.0512 -23.2723 -25.4043
115000 -3.35077 -37.0332 -26.5488
116000 -51.7134 -58.8882 -57.6247
117000 -43.8803 -25.6317 -4.30869
118000 -56.263 -57.707 -28.3116
119000 -94.4746 -69.5851 -83.4031
120000 -59.5102 -111.863 -52.9755
121000 -72.9255 -97.9579 -35.4489
122000 -71.8892 -95.7593 -31.3961
123000 -47.8227 -70.1537 -79.331
