# Time-averaged data for fix 1
# TimeStep c_pTensor[1] c_pTensor[2] c_pTensor[3]
1000 842.157 919.869 1037.09
2000 632.127 604.25 620.158
3000 318.803 340.262 327.542
4000 172.562 177.244 202.747
5000 16.0626 70.1828 58.9368
6000 -40.6579 -28.0469 -0.244397
7000 -99.6093 -97.104 -31.5673
8000 -154.252 -128.189 -73.1999
9000 -159.6 -107.879 -125.805
10000 -158.018 -158.108 -159.948
11000 -212.643 -168.767 -207.415
12000 -177.5 -165.509 -187.634
13000 -192.702 -179.192 -182.931
14000 -214.229 -224.635 -198.269
15000 -172.533 -199.441 -181.942
16000 -146.06 -139.911 -166.24
17000 -171.025 -112.028 -161.002
18000 -141.833 -125.775 -60.3926
19000 -134.935 -96.1207 -69.9067
20000 -100.81 -90.5078 -43.9693
21000 -29.1042 -47.9021 -12.8616
22000 -77.6975 -50.3214 -74.4211
23000 -67.954 -3.73624 -0.390755
24000 -36.5593 0.191858 1.3204
25000 -53.9292 -29.7359 -33.0596
26000 -39.5948 7.89142 -17.606
27000 -79.6014 -68.6034 -60.3182
28000 -76.6409 -37.4886 -37.6041
29000 -47.0946 -19.9663 -36.1008
30000 -44.5541 -44.4764 -12.5289
31000 -27.6617 -32.1547 -40.8248
32000 -30.561 8.20026 -15.6608
33000 -52.1042 -29.7555 -3.63852
34000 -51.6989 -70.3589 -46.869
35000 -44.6265 -37.6635 -47.2929
36000 -60.5967 -60.915 -28.0718
37000 -62.5208 -86.6935 -45.8788
38000 -58.8237 -13.7992 -24.8829
39000 -65.0915 -37.7002 -39.7053
40000 -98.6606 -84.6872 -72.1698
41000 -58.9709 -25.7899 -5.22638
42000 -106.08 -83.9058 -51.8597
43000 -78.1146 -36.3703 -2.45207
44000 -61.5071 -61.0266 -15.4192
45000 -51.3104 2.85337 -14.2601
46000 -69.2653 -64.392 -34.1379
47000 -29.3245 -46.123 -42.9674
48000 11.324 22.8582 5.91203
49000 -45.8989 -31.6578 -22.2823
50000 -7.71956 -15.3114 29.0843
51000 -28.1839 -22.8928 3.83439
52000 -58.6849 -27.4688 -41.0477
53000 -55.9558 -48.3764 -18.3014
54000 -50.1386 -32.9007 -23.7202
55000 -37.4762 -70.8782 -22.7724
56000 -63.1943 -81.3512 -57.9863
57000 -63.583 -48.2375 -64.4351
58000 -22.5124 -57.9641 37.8712
59000 -19.4374 -47.871 17.794
60000 -58.6575 -49.2643 -0.297837
61000 -47.1397 -32.4116 -39.901
62000 -21.5713 -48.2426 -12.0389
63000 -81.7697 -48.2262 -35.7926
64000 -37.3947 -48.31 -54.8193
65000 -27.7126 -16.1445 -27.3649
66000 -26.9653 -51.4313 -42.9532
67000 -49.4898 -73.1986 -27.2092
68000 -38.0993 -68.0179 10.6291
69000 -80.8938 -53.8652 2.55813
70000 -34.2456 -12.0774 56.1933
71000 -23.4202 -25.5227 29.8449
72000 -69.9164 16.3038 18.499
73000 -41.3029 -22.4019 -48.7433
74000 -16.3329 12.59 0.64307
75000 5.54018 -23.0856 37.2648
76000 -9.62868 -27.7794 2.59297
77000 56.7133 12.6378 21.3725
78000 29.032 18.3653 30.5832
79000 2.76564 6.65872 15.1217
80000 -34.4627 -11.3966 -10.1794
81000 -75.2129 -9.67972 -15.2884
82000 -67.1877 -23.1671 -29.433
83000 -44.4387 11.2007 2.69767
84000 -66.6888 -41.6624 -10.3716
85000 -0.217692 -32.1436 1.61474
86000 -32.8788 -36.6439 12.5263
87000 -56.1161 -25.8985 21.193
88000 -59.7635 -52.4795 -17.412
89000 -36.3635 -57.6586 9.8826
90000 0.286228 -47.3604 1.39359
91000 -44.7446 -11.1865 2.68244
92000 0.642157 -8.863 -6.31364
93000 -29.2476 -25.6079 7.32996
94000 -35.7582 7.53099 -10.3301
95000 -41.5761 -17.1647 4.38442
96000 9.72128 1.34724 11.029
97000 0.134908 -24.6059 -0.350795
98000 -16.09 32.0109 21.6358
99000 3.10646 -12.7762 5.66529
100000 5.71815 -14.4124 31.6082
101000 3.20773 11.0349 73.8025
102000 11.4951 26.5762 55.3117
103000 49.6635 69.6253 95.4768
104000 75.4198 85.3135 92.4686
105000 50.853 34.7093 82.8537
106000 65.6102 56.7954 67.0612
107000 68.4592 63.1897 102.734
108000 99.9334 80.5506 93.0571
109000 92.9646 65.022 101.932
110000 54.199 85.1308 67.8426
111000 76.8579 75.0265 98.7929
112000 97.1088 70.7561 81.4476
113000 86.4399 42.9167 65.5495
114000 51.1694 43.6767 32.4683
115000 49.5141 82.7057 68.0452
116000 -13.8971 26.8904 32.2354
117000 8.7933 25.5069 30.7095
118000 -5.07472 32.5026 -6.2968
119000 32.5598 -8.38038 -11.4108
120000 8.85501 40.418 -13.5571
121000 2.49847 33.0968 7.22709
122000 -42.2715 -1.25985 -39.9538
123000 -0.167911 -18.8274 -20.6911
124000 -2.86412 -3.02552 -24.749
125000 -24.09 -54.8612 -35.0348
126000 -38.5603 -53.6557 -31.2348
127000 -33.7364 -83.4201 -73.1759
128000 -87.0304 -89.7345 -52.9381
129000 -85.1842 -60.8767 -56.4206
130000 -44.4751 -26.2106 -43.8093
131000 -47.0284 -34.7714 -21.5255
132000 -41.8086 -31.6585 -23.0235
133000 -63.8122 -67.9968 -43.1066
134000 -70.2948 -76.5394 -72.084
135000 -73.0075 -69.1894 -11.8145
136000 -38.399 -67.7679 -21.7576
137000 -38.6713 -38.3949 -45.3976
138000 -5.40214 -31.017 -35.1064
139000 -45.5214 -8.40861 -11.553
140000 -24.1072 -17.4425 -23.9048
141000 -54.281 -42.2596 -26.8373
142000 -19.2034 -6.68347 -0.486147
143000 -12.021 1.46934 -19.1759
144000 8.49116 44.5622 36.6069
145000 12.7289 -24.7122 9.9813
146000 -32.3798 -44.8782 58.591
147000 -15.7965 14.3236 29.6409
148000 -12.9549 46.6997 38.8969
149000 49.9104 15.3828 37.1292
150000 -19.3779 -16.659 25.6654
151000 9.8321 12.3864 38.8918
152000 1.31002 37.4025 4.20351
153000 39.7263 42.9382 31.6816
154000 47.2819 30.4903 29.1889
155000 2.7856 16.1853 35.1576
156000 27.5589 -6.69792 33.38
157000 36.5661 38.3345 21.2062
158000 34.198 23.3825 23.3145
159000 -24.4993 7.24557 19.7249
160000 28.2464 32.2285 44.8003
161000 44.46 53.8606 19.5421
162000 -23.0229 18.8833 -4.0526
163000 54.958 22.3585 7.00634
164000 16.935 8.79126 52.2705
165000 24.0817 31.6237 14.9652
166000 -47.7843 -53.3146 9.34818
167000 -27.9697 -12.3248 -5.70692
168000 -6.75166 7.04796 6.99528
169000 -21.6086 6.60742 8.44321
170000 -1.74809 -27.8802 13.7003
171000 26.6891 -26.5693 39.6889
172000 -38.171 -22.0015 -11.486
173000 20.8801 -30.6881 -4.49971
174000 -45.5051 -56.5462 -14.1817
175000 -40.1867 -73.1785 -45.1601
176000 -40.0632 -36.1156 -23.5722
177000 -28.0501 -52.0877 -13.3279
178000 -37.5084 17.5345 -5.68959
179000 -72.0942 -67.2098 -41.256
180000 -0.196374 -57.1155 -40.4495
181000 -44.2839 -54.8229 -36.9644
182000 -71.3211 -50.1396 -58.112
183000 -70.429 -84.607 -73.3723
184000 -36.681 -71.2823 -21.0214
185000 -29.7013 -16.1446 10.0941
186000 -35.1363 -22.6457 -7.87273
187000 -6.35735 -1.72296 10.1453
188000 -5.42363 1.88216 38.8367
189000 4.44477 14.5069 16.8946
190000 13.7064 15.8312 22.2103
191000 44.1729 26.5557 41.5567
192000 -12.028 0.105295 -5.2115
193000 45.2638 7.12899 24.856
194000 50.8769 34.2141 48.7339
195000 48.5486 21.7184 74.5578
196000 21.303 9.49972 47.4719
197000 16.7585 -4.86617 12.7471
198000 27.7012 53.0265 39.271
199000 50.6909 24.9895 3.34165
200000 8.46058 12.9625 3.96117
201000 12.0442 18.8067 -12.6003
202000 -36.5612 -32.3132 8.33982
203000 11.6882 40.4769 55.1995
204000 4.73007 0.273665 19.1708
205000 25.9098 59.7604 34.6665
206000 38.0908 -8.05587 48.4579
207000 14.0561 22.6167 44.6451
208000 35.3027 -9.0124 5.44499
209000 -5.41998 -29.2295 -29.8758
210000 10.5784 -1.32101 -9.76741
211000 0.0787635 -23.2708 1.91521
212000 -21.505 -20.8765 -11.5046
213000 -20.5215 -16.1473 -43.4155
214000 10.9398 -3.22119 -2.82541
215000 -53.165 -7.51416 -41.5161
216000 -41.8895 -38.7164 3.45032
217000 -5.03775 16.9652 -8.3487
218000 -44.4925 -26.5859 -12.0576
219000 -30.6679 -45.7897 -8.33256
220000 -40.4806 -51.6853 -13.6493
221000 -27.8729 -77.8976 -43.4353
222000 -23.4495 -54.6108 -30.1723
223000 -32.7187 -22.096 -3.76278
224000 4.67961 -22.8069 14.6946
225000 -23.5223 -22.647 -14.2923
226000 -23.5795 -11.3513 -3.67589
227000 7.7615 0.166209 27.143
228000 29.2919 14.1784 39.2508
229000 19.6789 -4.70124 -14.3554
230000 -27.2038 -5.823 -6.70852
231000 -22.9186 -13.1372 9.76384
232000 2.65456 -5.25058 26.895
233000 11.3984 18.372 21.5173
234000 -16.6782 -12.8286 8.02618
235000 30.9937 -3.16973 44.3381
236000 4.19915 -4.42174 -7.1152
237000 20.9228 -23.7305 11.6473
238000 -48.3266 -11.8037 -19.8978
239000 7.32069 -14.5074 3.14046
240000 -7.02509 -28.3583 26.7365
241000 7.58625 21.092 10.2496
242000 30.6974 -10.6784 30.6548
243000 23.3686 7.73252 32.3596
244000 73.5044 38.2273 38.655
245000 40.3511 14.8993 57.339
246000 3.17997 19.7403 51.0245
247000 24.915 30.0327 -0.270516
248000 11.7978 6.39519 -18.3785
249000 5.39851 -10.6364 31.2564
250000 15.262 -14.4987 15.9015
251000 -3.47271 4.93861 0.646483
252000 -34.6567 -7.44594 8.18742
253000 17.0767 -31.5999 18.7475
254000 -4.98947 -34.504 -8.22053
255000 -48.0469 -33.5419 -28.4449
256000 -42.8531 -60.6589 -54.0216
257000 -56.4589 -35.5204 -21.4534
258000 -38.6134 3.07894 -26.9083
259000 -38.7789 -27.4642 -16.633
260000 -3.05037 -8.69392 -5.58518
261000 -36.2571 -16.0305 -27.2301
262000 8.01645 -18.7789 -40.164
263000 -8.21327 -20.1968 -11.298
264000 -11.536 -1.87431 -26.3705
265000 1.28355 6.83725 -11.1957
266000 -3.16947 -1.4673 2.80292
267000 -1.55117 -21.9463 0.753426
268000 -0.144691 3.23427 -1.0559
269000 -8.5003 -3.24426 -19.947
270000 12.0223 -16.2777 34.8119
271000 21.3076 9.26196 88.0257
272000 49.0903 10.0169 51.7175
273000 -22.1439 8.63847 5.02914
274000 -18.9161 1.91844 -1.11744
275000 -5.14177 26.3658 -3.2735
276000 20.8187 9.01255 -8.42628
277000 27.5346 6.75994 -3.31608
278000 -10.4476 -5.82367 -14.9483
279000 -38.9158 36.5938 18.3651
280000 28.2157 44.7321 9.84203
281000 -18.1269 39.8361 30.2853
282000 4.90883 36.4276 27.1483
283000 -2.54805 14.665 11.9336
284000 -23.2042 21.4241 3.08569
285000 2.75167 21.7116 38.1876
286000 6.57719 44.8035 4.97347
287000 19.2363 -7.14346 14.1582
288000 28.0762 37.6219 41.1158
289000 30.5481 -12.3893 -1.87823
290000 11.6907 -55.8479 -11.8373
291000 11.4099 6.53423 10.0223
292000 -29.3512 -8.67642 -31.5519
293000 -6.11589 -20.9012 -21.0474
294000 -45.9072 -17.4492 10.3293
295000 1.75651 -8.7605 5.20678
296000 -35.3624 14.4029 -26.0422
297000 -38.301 -21.788 -5.90348
298000 -36.6776 -32.5693 -20.8816
299000 -50.4411 -20.1542 -11.1828
300000 -12.279 8.8877 9.17439
301000 -2.90517 4.18545 11.4436
302000 19.2119 -24.9394 -8.25548
303000 -28.4027 -26.8067 -5.76791
304000 -1.62435 18.6675 7.82969
305000 -13.88 -7.0623 14.7875
306000 -9.41879 -16.0846 -12.2138
307000 -7.61643 -20.3924 -0.980482
308000 -8.357 -8.31776 39.0778
309000 21.3415 26.7571 33.6537
310000 43.5326 34.5838 10.8124
311000 -7.77547 2.40873 -23.0014
312000 -2.4201 -21.3482 23.1509
313000 14.9244 -28.338 9.13969
314000 3.17029 -38.7969 -10.0415
315000 -1.47872 5.93571 54.3989
316000 -10.2943 -3.20708 36.8963
317000 -0.446677 -43.9997 27.6696
318000 15.9822 -10.1571 -8.95664
319000 -10.4197 -21.2505 6.08405
320000 -43.0622 5.52998 -32.7673
321000 -17.853 -15.8405 37.5249
322000 -2.65471 4.13113 5.65631
323000 -27.6641 -4.23168 -9.55437
324000 -4.31017 -55.3597 -47.993
325000 -35.4854 -56.78 -21.6081
326000 -31.4227 -30.7687 -53.8909
327000 -74.8575 -10.4523 -70.23
328000 -7.75544 15.8886 1.23531
329000 -57.638 2.03792 -5.5245
330000 9.00763 -8.49715 -20.4552
331000 -39.7586 10.8914 19.0333
332000 -32.2715 6.62476 -12.7284
333000 -29.194 -3.70179 34.9485
334000 12.5504 12.7198 22.4489
335000 24.2115 -17.5488 12.8712
336000 10.3042 11.4766 -23.2596
337000 -11.9685 -1.19222 17.8801
338000 -2.39157 -7.2759 -14.3929
339000 5.75533 39.1594 0.478841
340000 26.752 20.3593 20.8652
341000 -17.0083 -7.16803 25.1344
342000 9.04057 -26.0911 11.5042
343000 -16.1244 -29.6775 23.9155
344000 30.0886 -10.7757 35.2632
345000 23.1909 10.6763 29.5831
346000 32.7205 -1.26666 52.8081
347000 -12.592 47.7734 56.1365
348000 19.2483 20.029 7.40859
349000 -10.2503 -33.1225 3.43329
350000 17.744 9.80794 28.7128
351000 20.702 18.5944 6.49451
352000 3.90745 39.1791 31.1113
353000 24.9687 -35.753 -2.40068
354000 15.3884 7.51017 33.5553
355000 -5.23912 -29.589 19.2066
356000 -11.4851 13.4791 -0.370421
357000 -43.1346 2.86047 10.1607
358000 -33.8974 -8.01159 -22.0383
359000 20.4803 -15.3287 -13.0953
360000 9.2588 4.91474 12.471
361000 -53.5082 2.43842 19.612
362000 -52.4132 -16.8566 5.53449
363000 -12.0453 -34.2978 -14.3373
364000 -20.172 -18.8052 -11.1824
365000 -11.0881 -25.4882 -29.1897
366000 -40.9021 -44.7793 -17.9738
367000 -81.3449 -96.6085 -42.853
368000 -89.5314 -105.864 -47.4919
369000 -45.7788 -63.3896 -52.4426
370000 -57.9861 -46.8447 -20.6095
371000 -67.5746 -78.6637 -63.8049
372000 -59.5972 -12.5236 -51.3361
373000 -4.41714 -11.4886 -35.4306
374000 12.6024 -34.5878 -25.9789
375000 -0.489854 -28.4586 11.8419
376000 -23.6122 -22.05 7.12638
377000 -47.5549 -12.4884 -25.0359
378000 -20.8384 -22.536 -5.41846
379000 -35.6024 -11.9178 36.8681
380000 -15.3657 8.3108 42.8415
381000 -1.39203 -11.7478 41.7724
382000 2.82351 45.2398 44.2037
383000 -12.7707 53.2052 -15.227
384000 22.2341 25.8565 30.1409
385000 12.2309 -45.8519 26.2955
386000 42.9646 28.7118 57.486
387000 70.2626 87.2423 77.3106
388000 49.2035 59.0607 65.2924
389000 68.1444 30.0821 88.1847
