# Time-averaged data for fix 1
# TimeStep c_pTensor[1] c_pTensor[2] c_pTensor[3]
1000 1147.73 1165.37 1289.54
2000 921.926 918.768 958.165
3000 511.603 495.929 493.518
4000 213.846 197.235 220.104
5000 21.4128 54.4648 44.3762
6000 -77.2576 -100.513 -36.7181
7000 -128.304 -172.205 -90.2762
8000 -235.906 -218.811 -169.096
9000 -250.852 -243.571 -224.847
10000 -278.821 -264.986 -253.793
11000 -296.229 -289.462 -254.225
12000 -258.673 -256.573 -229.429
13000 -247.576 -255.862 -199.501
14000 -189.757 -268.847 -182.774
15000 -210.857 -227.044 -157.977
16000 -198.792 -214.379 -118.52
17000 -203.775 -167.141 -98.9032
18000 -117.287 -127.053 -87.7313
19000 -109.257 -120.124 -66.0687
20000 -77.054 -112.996 -56.7737
21000 -75.4808 -85.449 -36.0069
22000 -48.4595 -53.1436 -49.0058
23000 -29.4673 -35.8601 -3.19817
24000 -33.6422 -50.6174 -4.75144
25000 -35.5279 -31.3402 -36.0789
26000 -64.6383 1.77483 7.0516
27000 -48.2314 -21.5656 -16.8136
28000 -27.8751 -39.4167 28.2168
29000 -59.0525 -42.2794 -53.0128
30000 -76.6337 -67.9747 -37.9723
31000 -45.3633 -51.9848 -37.1397
32000 -57.2446 -84.7397 -2.96841
33000 -35.7558 -63.1169 -20.3365
34000 -25.561 -28.5551 -18.8208
35000 -21.6349 -20.529 32.8056
36000 -36.3649 -37.0012 -6.88666
37000 -11.1585 -33.1161 -23.3071
38000 33.9601 9.38168 21.2886
39000 51.2643 32.8069 65.9378
40000 14.4348 -6.31863 54.0014
41000 13.2171 42.0824 40.3732
42000 -7.30136 -14.6569 -23.2431
43000 -25.6045 -26.4322 11.2064
44000 -25.0683 -32.0896 -21.1362
45000 -49.0153 -81.4666 -23.8576
46000 -87.5095 -72.0806 -42.3271
47000 -41.3311 -36.2215 -32.6879
48000 -57.4639 -37.7899 -18.2013
49000 -37.8348 -64.9599 1.82541
50000 -27.2114 -10.948 41.6198
51000 -27.2253 -50.3203 41.8666
52000 -29.6703 -21.8932 12.8016
53000 -24.1974 -18.4489 29.1731
54000 -22.5167 -22.3659 14.0216
55000 -25.5075 16.0442 4.38728
56000 24.9052 -28.4925 3.5042
57000 -32.7051 -27.5883 12.7424
58000 -22.9044 -2.4147 -8.68968
59000 -18.8552 -68.0924 -33.7365
60000 -27.6483 -50.0104 11.7277
61000 -63.2732 -53.7192 -11.6385
62000 -41.5741 -12.9817 21.964
63000 -18.3644 -19.8919 19.5435
64000 -29.6504 9.47586 8.17369
65000 2.43124 -23.3632 5.43576
66000 32.4503 -29.5869 49.5901
67000 5.00535 -46.2263 41.7201
68000 -0.682267 -17.285 -4.39908
69000 -46.0328 5.42765 41.0964
70000 -14.4031 -19.064 0.165971
71000 -44.125 -40.1459 14.2062
72000 -36.909 -45.6163 -33.9391
73000 -54.6956 -52.3379 -9.64095
74000 -42.4635 -30.4689 -28.6113
75000 -30.3467 -39.1663 31.0266
76000 -24.4822 -55.7641 9.71464
77000 5.23613 -40.4578 6.36946
78000 -29.7277 -18.9538 14.5474
79000 -50.6217 -22.8816 37.7477
80000 -42.3044 -59.092 -14.2097
81000 -4.46497 -13.6453 2.03483
82000 -4.95088 -62.3663 -5.01962
83000 -19.1926 -35.0181 20.9586
84000 -9.1622 -19.9477 2.01815
85000 -3.10286 -9.5907 2.8454
86000 -34.3301 -21.144 7.23506
87000 -47.653 2.12148 37.1123
88000 -51.6946 -48.1789 -20.0663
89000 -40.6965 -12.5641 9.97705
90000 -13.284 -16.9658 47.0263
91000 -37.0531 -15.826 36.6821
92000 12.2455 -41.3478 6.41086
93000 -11.8729 -25.2654 -20.012
94000 -20.9304 -16.7957 -36.8946
95000 -42.2043 -15.0293 -14.5871
96000 -38.8468 -49.2311 14.2557
97000 -38.1932 -29.5563 13.3178
98000 -36.8765 -54.3036 -2.71386
99000 -58.5128 -36.6247 0.438879
100000 -55.654 -24.0355 -17.2782
101000 -4.28804 -18.694 6.1301
102000 -17.0026 0.686719 16.6843
103000 -28.8377 -10.0744 -10.4204
104000 -0.0936772 -23.3971 19.4509
105000 5.62668 -22.7059 8.27732
106000 -14.7691 -26.2609 0.751747
107000 1.59072 -8.43275 12.8251
108000 -2.99714 -46.1886 35.7995
109000 -29.0063 -5.96745 30.4856
110000 -9.58158 -22.6916 31.1317
111000 -23.7083 -11.0568 23.4469
112000 -38.3687 -9.78571 -8.70919
113000 -56.0011 -19.4214 3.07311
114000 -74.5483 -53.3627 -53.0082
115000 -44.0512 -12.5019 -10.375
116000 -67.0313 -62.6075 -51.5537
117000 1.24197 -18.4373 39.9422
118000 -36.7156 -48.5825 1.07333
119000 -5.14297 0.0983489 40.0385
120000 -4.34086 2.9645 35.0424
121000 5.87251 -2.65704 24.3557
122000 -31.6412 -36.9721 -29.9119
123000 -32.111 -39.5675 30.8625
124000 -24.2905 -18.7787 -18.4038
125000 -45.4334 -18.661 -32.0071
126000 -35.376 -29.2954 -19.512
127000 -62.8982 -25.8171 9.58281
128000 -54.7616 -28.7512 -36.2366
129000 -13.2041 -17.4902 39.7063
130000 -10.7671 3.61065 45.3504
131000 -11.2207 21.7208 28.7612
132000 -16.4828 36.8008 51.5481
133000 -50.314 -2.6589 -0.769935
134000 -69.6703 -47.7414 -10.9906
135000 -56.6753 -40.7651 -26.3273
136000 -46.6766 -2.33701 1.01584
137000 -38.9234 -24.8196 0.761408
138000 -46.6519 -45.3209 -26.2277
139000 -41.8089 -33.6619 -14.2597
140000 -52.4408 -14.0045 24.4027
141000 -41.9561 -28.5408 -34.0917
142000 -36.4923 -46.5775 12.7978
143000 -50.2753 -36.4478 41.4429
144000 -17.5912 -13.1267 29.2312
145000 -27.2758 -19.1921 -22.3483
