# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050.000000000001
  1 0.005 2.72 0.0170939
  2 0.015 2.46 0.0154675
  3 0.025 9.59 0.0607959
  4 0.035 8.6 0.0546019
  5 0.045 2.37 0.0150173
  6 0.055 1.18 0.00775005
  7 0.065 0 0
  8 0.075 0 0
  9 0.085 2.01 0.0122334
  10 0.095 0.99 0.00679772
  11 0.105 0 0
  12 0.115 0 0
  13 0.125 1.6 0.0101902
  14 0.135 6.5 0.0407626
  15 0.145 4.16 0.0269705
  16 0.155 4.92 0.0310385
  17 0.165 0.82 0.00522484
  18 0.175 0.78 0.00482735
  19 0.185 3.51 0.0225251
  20 0.195 2.5 0.015658
  21 0.205 2.19 0.0139445
  22 0.215 0.02 0.000138373
  23 0.225 0 0
  24 0.235 0 0
  25 0.245 0 0
  26 0.255 2.33 0.0146543
  27 0.265 2.16 0.0138404
  28 0.275 3.53 0.0218183
  29 0.285 3.98 0.0258114
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0 0
  33 0.325 0 0
  34 0.335 1.85 0.0118163
  35 0.345 73.75 0.469475
  36 0.355 199.45 1.26326
  37 0.365 226.45 1.43666
  38 0.375 234.2 1.48691
  39 0.385 242.25 1.53373
  40 0.395 229.27 1.45531
  41 0.405 239.8 1.51923
  42 0.415 239.34 1.51811
  43 0.425 220.29 1.3988
  44 0.435 228.67 1.45514
  45 0.445 243.39 1.5383
  46 0.455 224.61 1.43193
  47 0.465 225.32 1.42579
  48 0.475 234.66 1.49005
  49 0.485 227.46 1.44277
  50 0.495 193.76 1.22472
  51 0.505 182.79 1.15972
  52 0.515 214.41 1.36474
  53 0.525 220.2 1.39314
  54 0.535 227.95 1.4485
  55 0.545 242.25 1.53428
  56 0.555 231.77 1.4736
  57 0.565 237.1 1.50436
  58 0.575 235.85 1.49712
  59 0.585 245.83 1.5552
  60 0.595 237.24 1.51231
  61 0.605 234.67 1.4848
  62 0.615 235.83 1.49611
  63 0.625 242.27 1.53195
  64 0.635 221.62 1.41137
  65 0.645 182.16 1.15084
  66 0.655 26.52 0.170426
  67 0.665 0.02 0.000138373
  68 0.675 0 0
  69 0.685 0 0
  70 0.695 0 0
  71 0.705 2.35 0.0147755
  72 0.715 2.6 0.0165569
  73 0.725 3.52 0.0220941
  74 0.735 3.05 0.0196013
  75 0.745 1.94 0.0124908
