# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050
  100 0.995 0 0
3000 100 7049.999999999999
  1 0.005 3.22 0.020398
  2 0.015 4.48 0.0287705
  3 0.025 6.41 0.0406402
  4 0.035 2.4 0.0148799
  5 0.045 4.52 0.028823
  6 0.055 3.53 0.022284
  7 0.065 0.95 0.00598627
  8 0.075 0 0
  9 0.085 0 0
  10 0.095 0.79 0.00494828
  11 0.105 2.89 0.0184425
  12 0.115 5.53 0.034914
  13 0.125 2.78 0.0177505
  14 0.135 0.01 6.91865e-05
  15 0.145 0.61 0.00375467
  16 0.155 4.85 0.0305715
  17 0.165 2.64 0.0169026
  18 0.175 3.4 0.0214364
  19 0.185 0.5 0.00345933
  20 0.195 0.79 0.00546574
  21 0.205 2.23 0.0137038
  22 0.215 1.45 0.00911788
  23 0.225 3.71 0.0235466
  24 0.235 0.82 0.00525933
  25 0.245 0 0
  26 0.255 0 0
  27 0.265 3.18 0.0205007
  28 0.275 5.32 0.0331333
  29 0.285 0.5 0.00345933
  30 0.295 0 0
  31 0.305 0.07 0.000484306
  32 0.315 4.29 0.0279907
  33 0.325 45.36 0.287319
  34 0.335 148.85 0.945876
  35 0.345 189.71 1.20054
  36 0.355 195.02 1.23795
  37 0.365 200.8 1.27044
  38 0.375 201.2 1.28118
  39 0.385 198.4 1.25654
  40 0.395 214.42 1.35815
  41 0.405 202.62 1.28783
  42 0.415 195.44 1.24355
  43 0.425 211.5 1.33561
  44 0.435 206.83 1.31083
  45 0.445 212.96 1.35699
  46 0.455 216.57 1.37248
  47 0.465 217.13 1.37459
  48 0.475 216.25 1.37352
  49 0.485 206.91 1.31408
  50 0.495 203.83 1.29142
  51 0.505 190.26 1.20859
  52 0.515 201.59 1.28005
  53 0.525 216.76 1.37015
  54 0.535 198.92 1.26671
  55 0.545 205.17 1.29852
  56 0.555 218.11 1.38016
  57 0.565 206.96 1.31272
  58 0.575 200.24 1.2798
  59 0.585 224.76 1.41939
  60 0.595 194.62 1.23793
  61 0.605 215.39 1.3654
  62 0.615 204.08 1.29358
  63 0.625 214.24 1.35901
  64 0.635 207.31 1.3132
  65 0.645 201.92 1.28138
  66 0.655 177.69 1.12687
  67 0.665 123.41 0.782647
  68 0.675 12.98 0.0841294
  69 0.685 0.43 0.00297502
  70 0.695 3.63 0.0226999
  71 0.705 2.05 0.0132691
  72 0.715 0.32 0.00209323
  73 0.725 4.74 0.0293447
  74 0.735 1.53 0.0105855
  75 0.745 2.73 0.0171631
  76 0.755 0 0
  77 0.765 3.48 0.0223521
  78 0.775 3.29 0.0209685
  79 0.785 2.23 0.0137727
  80 0.795 0 0
  81 0.805 1.45 0.00934211
  82 0.815 4.98 0.0313157
  83 0.825 2.62 0.0167815
  84 0.835 1.87 0.0119202
  85 0.845 3.55 0.0224569
  86 0.855 3.53 0.0223703
  87 0.865 1.93 0.0119214
  88 0.875 4.35 0.0281471
  89 0.885 2.72 0.0170249
  90 0.895 0 0
  91 0.905 0 0
  92 0.915 0 0
  93 0.925 5.01 0.0315922
  94 0.935 3.99 0.0255011
  95 0.945 3 0.0190311
  96 0.955 0.34 0.00212811
  97 0.965 5.69 0.0362797
  98 0.975 4.43 0.0281141
  99 0.985 2.18 0.0137028
  100 0.995 3.85 0.024429
4000 100 7049.999999999999
  1 0.005 5.31 0.034099
  2 0.015 2.54 0.0157968
  3 0.025 3.36 0.0212804
  4 0.035 4.82 0.0303639
  5 0.045 1.34 0.00865005
  6 0.055 3.51 0.0221802
  7 0.065 4.78 0.0303977
  8 0.075 0.41 0.00268141
  9 0.085 1.84 0.0116782
  10 0.095 1.24 0.00775121
  11 0.105 2.56 0.0162456
