# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
0 220 145.656 4622.58 -11726 -7103.44 0 -7103.44
1000 216.062 1129.02 4539.83 -7610 -3070.17 -4027.39 -7097.56
2000 198.279 1342.65 4166.19 -6625.6 -2459.41 -4632.95 -7092.36
3000 211.172 -301.552 4437.09 -6462.45 -2025.36 -5068.3 -7093.66
4000 226.517 -206.28 4759.51 -6641.55 -1882.03 -5216.03 -7098.06
5000 223.969 -90.852 4705.97 -6488.47 -1782.5 -5315.71 -7098.21
6000 217.275 107.367 4565.32 -6140.51 -1575.19 -5520.53 -7095.72
7000 213.345 -129.32 4482.74 -6002.68 -1519.94 -5575.1 -7095.04
8000 216.278 -282.312 4544.37 -5936.5 -1392.13 -5704.25 -7096.38
9000 221.359 16.6598 4651.14 -5797.17 -1146.03 -5950.85 -7096.88
10000 217.339 -191.231 4566.67 -5538.49 -971.821 -6124.26 -7096.08
11000 222.061 -8.2454 4665.88 -5407.14 -741.257 -6354.21 -7095.46
12000 215.001 -377.077 4517.54 -5287.28 -769.746 -6325.8 -7095.55
13000 223.065 -35.3667 4686.97 -5245.99 -559.021 -6536.73 -7095.75
14000 221.548 -57.9223 4655.11 -5140.49 -485.385 -6610.16 -7095.54
15000 218.181 -319.638 4584.35 -5019.57 -435.216 -6659.88 -7095.09
16000 221.257 -29.077 4648.99 -5118.85 -469.86 -6625.41 -7095.27
17000 220.714 27.5855 4637.59 -5096.6 -459.008 -6636.66 -7095.67
18000 218.291 -159.156 4586.68 -5087.83 -501.153 -6594.55 -7095.7
19000 217.833 216.978 4577.05 -5055.85 -478.808 -6616.91 -7095.72
20000 218.26 7.8383 4586.01 -5088.17 -502.154 -6593.6 -7095.75
21000 218.451 -320.628 4590.04 -5216.32 -626.285 -6469.47 -7095.75
22000 219.151 -206.058 4604.75 -5226 -621.255 -6474.5 -7095.75
23000 217.617 402.822 4572.51 -5244.33 -671.816 -6423.7 -7095.52
24000 218.949 146.532 4600.5 -5275.81 -675.309 -6420.16 -7095.47
25000 220.717 -300.212 4637.65 -5278.95 -641.297 -6454.08 -7095.37
26000 222.811 77.6765 4681.64 -5366.97 -685.33 -6410.3 -7095.63
27000 220.47 -41.8743 4632.46 -5418.43 -785.966 -6309.44 -7095.4
28000 217.952 2.85675 4579.54 -5467.35 -887.807 -6207.68 -7095.48
29000 220.741 60.8928 4638.15 -5564.29 -926.133 -6169.12 -7095.25
30000 218.534 40.8436 4591.77 -5608.28 -1016.5 -6079.08 -7095.59
31000 221.1 -133.358 4645.7 -5446.56 -800.856 -6294.56 -7095.41
32000 216.605 57.6346 4551.24 -5486.38 -935.139 -6159.91 -7095.05
33000 217.478 36.5507 4569.6 -5494.62 -925.024 -6170.31 -7095.34
34000 224.756 -84.1778 4722.52 -5458.17 -735.651 -6359.85 -7095.5
35000 217.384 156.889 4567.61 -5408.4 -840.793 -6254.62 -7095.41
36000 216.738 -98.7696 4554.05 -5465.19 -911.142 -6184.27 -7095.41
37000 220.74 -97.4911 4638.13 -5508.8 -870.671 -6224.7 -7095.37
38000 220.83 26.1385 4640.02 -5361.24 -721.225 -6373.91 -7095.14
39000 220.161 17.0128 4625.97 -5377.11 -751.146 -6344.06 -7095.21
40000 221.013 -165.871 4643.87 -5417.71 -773.838 -6321.22 -7095.06
41000 220.691 110.678 4637.1 -5362.83 -725.733 -6369.17 -7094.9
42000 222.896 38.7938 4683.42 -5405.66 -722.233 -6372.56 -7094.79
43000 225.711 30.4348 4742.58 -5379.95 -637.368 -6457.66 -7095.03
44000 217.976 61.3479 4580.04 -5339.89 -759.851 -6335.26 -7095.11
45000 220.551 116.894 4634.17 -5385.05 -750.884 -6344.34 -7095.23
46000 222.759 -20.9097 4680.56 -5396.23 -715.667 -6379.69 -7095.36
47000 222.881 -286.396 4683.11 -5401.76 -718.646 -6375.99 -7094.64
48000 220.813 -25.1049 4639.66 -5416.34 -776.679 -6318.07 -7094.75
49000 219.999 38.3018 4622.57 -5497.88 -875.315 -6219.88 -7095.19
50000 221.614 140.778 4656.49 -5489.43 -832.943 -6262.29 -7095.23
51000 217.69 -185.638 4574.04 -5532.06 -958.02 -6137.26 -7095.28
52000 219.569 -273.68 4613.52 -5525.37 -911.845 -6183.14 -7094.99
53000 218.615 145.534 4593.49 -5526.85 -933.363 -6161.8 -7095.16
54000 221.593 70.9083 4656.05 -5509.22 -853.176 -6241.83 -7095
55000 217.493 -46.6816 4569.9 -5591.36 -1021.46 -6073.89 -7095.35
56000 223.529 164.547 4696.73 -5698.18 -1001.45 -6093.64 -7095.08
57000 221.746 -85.8805 4659.27 -5576.24 -916.968 -6178 -7094.97
58000 222.299 222.01 4670.88 -5565.53 -894.65 -6200.67 -7095.32
59000 218.369 36.568 4588.31 -5563.3 -974.987 -6120.51 -7095.5
60000 215.175 -78.958 4521.19 -5571.46 -1050.27 -6044.93 -7095.2
61000 221.344 -166.603 4650.83 -5627.86 -977.036 -6118.31 -7095.34
62000 217.522 134.294 4570.51 -5610.9 -1040.38 -6054.77 -7095.15
63000 217.009 119.071 4559.73 -5662.79 -1103.05 -5992.59 -7095.64
64000 225.847 117.147 4745.43 -5673.32 -927.883 -6167.63 -7095.51
65000 220.783 169.521 4639.03 -5738.96 -1099.93 -5995.58 -7095.51
66000 216.638 150.008 4551.94 -5765.18 -1213.24 -5882.21 -7095.46
67000 215.837 74.068 4535.12 -5853.06 -1317.94 -5777.77 -7095.72
68000 217.804 -154.461 4576.45 -5902.13 -1325.68 -5769.93 -7095.61
