# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
59000 -1.35447e-14 5.32907e-15 1.33227e-14 -1.30965e-19 5.15273e-20 1.28818e-19
60000 -1.53211e-14 -2.88658e-15 1.77636e-15 -1.48141e-19 -2.79106e-20 1.71758e-20
61000 5.10703e-15 -4.66294e-15 1.55431e-14 4.93803e-20 -4.50864e-20 1.50288e-19
62000 -4.88498e-15 -7.99361e-15 0 -4.72333e-20 -7.72909e-20 0
63000 3.66374e-15 1.9984e-15 1.19904e-14 3.5425e-20 1.93227e-20 1.15936e-19
64000 -8.77076e-15 -1.9984e-15 -4.88498e-15 -8.48053e-20 -1.93227e-20 -4.72333e-20
65000 3.9968e-15 -3.33067e-15 -1.06581e-14 3.86455e-20 -3.22045e-20 -1.03055e-19
66000 -1.13243e-14 2.66454e-15 -7.99361e-15 -1.09495e-19 2.57636e-20 -7.72909e-20
67000 -2.77556e-15 2.22045e-16 8.43769e-15 -2.68371e-20 2.14697e-21 8.15849e-20
68000 -4.44089e-16 -4.44089e-16 5.38458e-15 -4.29394e-21 -4.29394e-21 5.2064e-20
69000 0 0 6.43929e-15 0 0 6.22621e-20
70000 7.99361e-15 7.99361e-15 8.88178e-16 7.72909e-20 7.72909e-20 8.58788e-21
71000 9.21485e-15 9.21485e-15 -1.33227e-15 8.90992e-20 8.90992e-20 -1.28818e-20
72000 4.44089e-16 -1.02141e-14 4.44089e-16 4.29394e-21 -9.87606e-20 4.29394e-21
73000 3.55271e-15 -7.54952e-15 0 3.43515e-20 -7.2997e-20 0
74000 -1.77636e-15 6.18949e-15 -2.66454e-15 -1.71758e-20 5.98468e-20 -2.57636e-20
75000 1.28786e-14 6.21725e-15 6.21725e-15 1.24524e-19 6.01152e-20 6.01152e-20
76000 1.06581e-14 -1.24345e-14 5.32907e-15 1.03055e-19 -1.2023e-19 5.15273e-20
77000 -1.33227e-15 -2.88658e-15 1.24345e-14 -1.28818e-20 -2.79106e-20 1.2023e-19
78000 1.55431e-14 -9.76996e-15 6.66134e-16 1.50288e-19 -9.44667e-20 6.44091e-21
79000 9.76996e-15 -1.04916e-14 8.65974e-15 9.44667e-20 -1.01444e-19 8.37318e-20
80000 -5.21805e-15 5.21805e-15 -8.88178e-16 -5.04538e-20 5.04538e-20 -8.58788e-21
81000 2.22045e-16 3.55271e-15 5.77316e-15 2.14697e-21 3.43515e-20 5.58212e-20
82000 4.21885e-15 -1.77636e-15 -9.99201e-15 4.07924e-20 -1.71758e-20 -9.66136e-20
83000 5.32907e-15 -7.10543e-15 -3.9968e-15 5.15273e-20 -6.8703e-20 -3.86455e-20
84000 -3.10862e-15 -1.02141e-14 1.11022e-15 -3.00576e-20 -9.87606e-20 1.07348e-20
85000 1.77636e-15 1.5099e-14 0 1.71758e-20 1.45994e-19 0
86000 -5.32907e-15 1.55431e-15 1.11022e-14 -5.15273e-20 1.50288e-20 1.07348e-19
87000 3.88578e-15 4.44089e-15 4.44089e-15 3.7572e-20 4.29394e-20 4.29394e-20
88000 -6.43929e-15 1.77636e-15 -7.99361e-15 -6.22621e-20 1.71758e-20 -7.72909e-20
89000 -6.66134e-16 -1.06581e-14 1.33227e-15 -6.44091e-21 -1.03055e-19 1.28818e-20
90000 -1.55431e-15 2.22045e-15 1.5099e-14 -1.50288e-20 2.14697e-20 1.45994e-19
91000 -6.66134e-15 7.54952e-15 2.22045e-15 -6.44091e-20 7.2997e-20 2.14697e-20
92000 1.55431e-15 -2.66454e-15 -1.06581e-14 1.50288e-20 -2.57636e-20 -1.03055e-19
93000 -5.77316e-15 -5.77316e-15 -3.55271e-15 -5.58212e-20 -5.58212e-20 -3.43515e-20
94000 -2.55351e-15 3.77476e-15 3.9968e-15 -2.46902e-20 3.64985e-20 3.86455e-20
95000 1.9984e-15 3.10862e-15 1.11022e-15 1.93227e-20 3.00576e-20 1.07348e-20
96000 -6.66134e-15 2.77556e-15 -1.0103e-14 -6.44091e-20 2.68371e-20 -9.76871e-20
97000 -6.66134e-15 -4.10783e-15 7.10543e-15 -6.44091e-20 -3.97189e-20 6.8703e-20
98000 -1.22125e-15 1.09912e-14 -4.44089e-16 -1.18083e-20 1.06275e-19 -4.29394e-21
99000 3.9968e-15 7.77156e-15 1.77636e-15 3.86455e-20 7.51439e-20 1.71758e-20
100000 -5.55112e-15 -1.44329e-15 2.66454e-15 -5.36742e-20 -1.39553e-20 2.57636e-20
101000 5.10703e-15 -1.04361e-14 5.32907e-15 4.93803e-20 -1.00908e-19 5.15273e-20
102000 -3.747e-15 2.22045e-15 -6.21725e-15 -3.62301e-20 2.14697e-20 -6.01152e-20
103000 -6.66134e-15 -6.88338e-15 -2.66454e-15 -6.44091e-20 -6.65561e-20 -2.57636e-20
104000 6.21725e-15 1.77636e-15 1.06581e-14 6.01152e-20 1.71758e-20 1.03055e-19
105000 -7.54952e-15 -2.22045e-15 4.44089e-15 -7.2997e-20 -2.14697e-20 4.29394e-20
106000 2.22045e-16 1.02141e-14 2.66454e-15 2.14697e-21 9.87606e-20 2.57636e-20
107000 4.77396e-15 -1.33227e-15 2.66454e-15 4.61598e-20 -1.28818e-20 2.57636e-20
108000 1.39888e-14 -6.66134e-15 -2.9976e-15 1.35259e-19 -6.44091e-20 -2.89841e-20
109000 0 -6.21725e-15 -2.33147e-15 0 -6.01152e-20 -2.25432e-20
110000 -2.22045e-15 4.88498e-15 -1.15463e-14 -2.14697e-20 4.72333e-20 -1.11642e-19
111000 8.54872e-15 6.21725e-15 -1.77636e-15 8.26583e-20 6.01152e-20 -1.71758e-20
112000 1.77636e-15 -7.99361e-15 -5.32907e-15 1.71758e-20 -7.72909e-20 -5.15273e-20
113000 -3.55271e-15 -6.88338e-15 -2.22045e-16 -3.43515e-20 -6.65561e-20 -2.14697e-21
114000 -5.32907e-15 1.77636e-15 4.44089e-15 -5.15273e-20 1.71758e-20 4.29394e-20
115000 5.77316e-15 6.21725e-15 -2.55351e-15 5.58212e-20 6.01152e-20 -2.46902e-20
116000 -2.33147e-15 -9.54792e-15 4.21885e-15 -2.25432e-20 -9.23197e-20 4.07924e-20
117000 -4.44089e-15 6.66134e-15 3.77476e-15 -4.29394e-20 6.44091e-20 3.64985e-20
118000 -2.44249e-15 1.4988e-15 5.44009e-15 -2.36167e-20 1.4492e-20 5.26008e-20
119000 4.77396e-15 5.55112e-16 3.77476e-15 4.61598e-20 5.36742e-21 3.64985e-20
120000 -8.88178e-16 -4.88498e-15 -1.02141e-14 -8.58788e-21 -4.72333e-20 -9.87606e-20
