# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
0 220 104.61 4622.58 -11649.7 -7027.07 0 -7027.07
1000 216.094 989.876 4540.52 -7538.71 -2998.2 -4023.22 -7021.41
2000 200.228 1170.81 4207.13 -6612 -2404.87 -4611.48 -7016.35
3000 211.934 -262.926 4453.11 -6402.45 -1949.34 -5067.98 -7017.32
4000 225.43 -46.7039 4736.67 -6521.37 -1784.7 -5236.68 -7021.38
5000 225.097 -52.1089 4729.68 -6441.15 -1711.47 -5310.42 -7021.9
6000 216.986 -53.7406 4559.25 -6047.03 -1487.77 -5531.35 -7019.13
7000 211.84 70.0105 4451.13 -5933.63 -1482.51 -5535.62 -7018.12
8000 216.909 -352.387 4557.62 -5910.98 -1353.35 -5666.14 -7019.49
9000 222.371 -437.486 4672.41 -5824.95 -1152.54 -5867.76 -7020.3
10000 219.592 -130.85 4614 -5558.25 -944.247 -6075.27 -7019.51
11000 219.801 -165.945 4618.4 -5376.77 -758.372 -6260.08 -7018.45
12000 219.268 -196.883 4607.21 -5386.99 -779.781 -6239 -7018.78
13000 221.146 100.499 4646.67 -5195.06 -548.388 -6470.69 -7019.08
14000 221.106 -166.496 4645.82 -5147.26 -501.445 -6517.56 -7019.01
15000 220.987 -95.4119 4643.32 -5088.17 -444.848 -6573.88 -7018.73
16000 219.844 10.1833 4619.3 -5072.92 -453.622 -6564.96 -7018.58
17000 218.949 -475.763 4600.51 -5046.71 -446.201 -6572.52 -7018.72
18000 219.538 -198.222 4612.87 -5114.62 -501.749 -6517 -7018.74
19000 217.3 64.7953 4565.85 -5046.63 -480.781 -6537.92 -7018.71
20000 222.853 -45.1572 4682.53 -5178.31 -495.781 -6523.09 -7018.87
21000 215.961 -259.688 4537.72 -5173.53 -635.805 -6383.23 -7019.03
22000 217.613 16.6975 4572.43 -5212.75 -640.315 -6378.4 -7018.72
23000 219.84 208.585 4619.22 -5259.55 -640.329 -6378.63 -7018.96
24000 217.541 -200.687 4570.91 -5208.65 -637.735 -6381.06 -7018.79
25000 222.481 -85.8667 4674.71 -5189.28 -514.573 -6504.11 -7018.68
26000 219.201 -273.942 4605.79 -5136.72 -530.93 -6488 -7018.94
27000 220.041 54.4579 4623.45 -5185.52 -562.075 -6456.8 -7018.87
28000 217.811 208.099 4576.59 -5223.33 -646.739 -6371.98 -7018.72
29000 217.607 116.347 4572.29 -5170.7 -598.405 -6420.31 -7018.71
30000 218.733 -160.795 4595.95 -5312.71 -716.759 -6302.48 -7019.24
31000 222.915 -237.119 4683.83 -5309.22 -625.387 -6393.6 -7018.99
32000 217.75 -248.275 4575.31 -5352.18 -776.874 -6242.11 -7018.99
33000 219.069 13.5389 4603.02 -5407.53 -804.506 -6214.42 -7018.93
34000 224.182 -1.33987 4710.45 -5382.87 -672.417 -6346.44 -7018.86
35000 217.887 -148.19 4578.18 -5414.21 -836.03 -6182.64 -7018.67
36000 217.298 -178.919 4565.8 -5502.64 -936.841 -6081.99 -7018.83
37000 218.511 -69.0172 4591.29 -5511.64 -920.342 -6098.54 -7018.88
38000 221.68 -27.1371 4657.88 -5432.06 -774.178 -6244.79 -7018.97
39000 219.018 -160.446 4601.95 -5421.68 -819.723 -6199.15 -7018.87
40000 219.568 121.921 4613.5 -5528.31 -914.818 -6103.92 -7018.73
41000 219.151 -45.1704 4604.74 -5520.08 -915.345 -6103.42 -7018.76
42000 223.176 18.8028 4689.31 -5568.28 -878.978 -6140.08 -7019.06
43000 225.691 277.712 4742.16 -5557.22 -815.06 -6203.62 -7018.68
44000 218.317 -133.357 4587.21 -5548.17 -960.961 -6057.91 -7018.87
45000 216.765 -342.764 4554.6 -5521.81 -967.212 -6051.69 -7018.9
46000 222.913 90.9093 4683.79 -5654.4 -970.615 -6048.45 -7019.06
47000 221.729 -46.2857 4658.92 -5686.14 -1027.22 -5991.77 -7018.99
48000 220.227 -87.6125 4627.36 -5767.56 -1140.2 -5878.74 -7018.94
49000 221.28 329.276 4649.48 -5824.27 -1174.79 -5844.31 -7019.1
50000 222.392 -181.561 4672.83 -5768.73 -1095.9 -5923.25 -7019.14
51000 218.718 -12.1448 4595.64 -5888.6 -1292.96 -5726.61 -7019.56
52000 218.989 157.644 4601.34 -5873.88 -1272.54 -5746.6 -7019.14
53000 220.545 229.783 4634.03 -5964.18 -1330.15 -5688.88 -7019.02
54000 220.845 275.281 4640.35 -5873.34 -1233 -5786.11 -7019.11
55000 216.714 253.21 4553.54 -6000.29 -1446.75 -5572.66 -7019.41
56000 217.399 146.981 4567.92 -5879.47 -1311.55 -5707.41 -7018.96
57000 219.199 -249.818 4605.76 -5817.13 -1211.38 -5807.16 -7018.54
58000 222.806 176.538 4681.55 -5875.38 -1193.84 -5825.31 -7019.14
59000 221.053 335.092 4644.71 -5869.38 -1224.66 -5794.49 -7019.16
