# Time-averaged data for fix 1
# TimeStep c_pTensor[1] c_pTensor[2] c_pTensor[3]
1000 842.157 919.869 1037.09
2000 632.127 604.25 620.158
3000 318.803 340.262 327.542
4000 172.562 177.244 202.747
5000 16.0626 70.1828 58.9368
6000 -40.6579 -28.0469 -0.244397
7000 -99.6093 -97.104 -31.5673
8000 -154.252 -128.189 -73.1999
9000 -159.6 -107.879 -125.805
10000 -158.018 -158.108 -159.948
11000 -212.643 -168.767 -207.415
12000 -177.5 -165.509 -187.634
13000 -192.702 -179.192 -182.931
14000 -214.229 -224.635 -198.269
15000 -172.533 -199.441 -181.942
16000 -146.06 -139.911 -166.24
17000 -171.025 -112.028 -161.002
18000 -141.833 -125.775 -60.3926
19000 -134.935 -96.1207 -69.9067
20000 -100.81 -90.5078 -43.9693
21000 -29.1042 -47.9021 -12.8616
22000 -77.6975 -50.3214 -74.4211
23000 -67.954 -3.73624 -0.390755
24000 -36.5593 0.191858 1.3204
25000 -53.9292 -29.7359 -33.0596
26000 -39.5948 7.89142 -17.606
27000 -79.6014 -68.6034 -60.3182
28000 -76.6409 -37.4886 -37.6041
29000 -47.0946 -19.9663 -36.1008
30000 -44.5541 -44.4764 -12.5289
31000 -27.6617 -32.1547 -40.8248
32000 -30.561 8.20026 -15.6608
33000 -52.1042 -29.7555 -3.63852
34000 -51.6989 -70.3589 -46.869
35000 -44.6265 -37.6635 -47.2929
36000 -60.5967 -60.915 -28.0718
37000 -62.5208 -86.6935 -45.8788
38000 -58.8237 -13.7992 -24.8829
39000 -65.0915 -37.7002 -39.7053
40000 -98.6606 -84.6872 -72.1698
41000 -58.9709 -25.7899 -5.22638
42000 -106.08 -83.9058 -51.8597
43000 -78.1146 -36.3703 -2.45207
44000 -61.5071 -61.0266 -15.4192
45000 -51.3104 2.85337 -14.2601
46000 -69.2653 -64.392 -34.1379
47000 -29.3245 -46.123 -42.9674
48000 11.324 22.8582 5.91203
49000 -45.8989 -31.6578 -22.2823
50000 -7.71956 -15.3114 29.0843
51000 -28.1839 -22.8928 3.83439
52000 -58.6849 -27.4688 -41.0477
53000 -55.9558 -48.3764 -18.3014
54000 -50.1386 -32.9007 -23.7202
55000 -37.4762 -70.8782 -22.7724
56000 -63.1943 -81.3512 -57.9863
57000 -63.583 -48.2375 -64.4351
58000 -22.5124 -57.9641 37.8712
59000 -19.4374 -47.871 17.794
60000 -58.6575 -49.2643 -0.297837
61000 -47.1397 -32.4116 -39.901
62000 -21.5713 -48.2426 -12.0389
63000 -81.7697 -48.2262 -35.7926
64000 -37.3947 -48.31 -54.8193
65000 -27.7126 -16.1445 -27.3649
66000 -26.9653 -51.4313 -42.9532
67000 -49.4898 -73.1986 -27.2092
68000 -38.0993 -68.0179 10.6291
69000 -80.8938 -53.8652 2.55813
70000 -34.2456 -12.0774 56.1933
71000 -23.4202 -25.5227 29.8449
72000 -69.9164 16.3038 18.499
73000 -41.3029 -22.4019 -48.7433
74000 -16.3329 12.59 0.64307
75000 5.54018 -23.0856 37.2648
76000 -9.62868 -27.7794 2.59297
77000 56.7133 12.6378 21.3725
78000 29.032 18.3653 30.5832
79000 2.76564 6.65872 15.1217
80000 -34.4627 -11.3966 -10.1794
81000 -75.2129 -9.67972 -15.2884
82000 -67.1877 -23.1671 -29.433
83000 -44.4387 11.2007 2.69767
84000 -66.6888 -41.6624 -10.3716
85000 -0.217692 -32.1436 1.61474
86000 -32.8788 -36.6439 12.5263
87000 -56.1161 -25.8985 21.193
88000 -59.7635 -52.4795 -17.412
89000 -36.3635 -57.6586 9.8826
90000 0.286228 -47.3604 1.39359
91000 -44.7446 -11.1865 2.68244
92000 0.642157 -8.863 -6.31364
93000 -29.2476 -25.6079 7.32996
94000 -35.7582 7.53099 -10.3301
95000 -41.5761 -17.1647 4.38442
96000 9.72128 1.34724 11.029
97000 0.134908 -24.6059 -0.350795
98000 -16.09 32.0109 21.6358
99000 3.10646 -12.7762 5.66529
100000 5.71815 -14.4124 31.6082
101000 3.20773 11.0349 73.8025
102000 11.4951 26.5762 55.3117
103000 49.6635 69.6253 95.4768
104000 75.4198 85.3135 92.4686
105000 50.853 34.7093 82.8537
106000 65.6102 56.7954 67.0612
107000 68.4592 63.1897 102.734
108000 99.9334 80.5506 93.0571
109000 92.9646 65.022 101.932
110000 54.199 85.1308 67.8426
111000 76.8579 75.0265 98.7929
112000 97.1088 70.7561 81.4476
113000 86.4399 42.9167 65.5495
114000 51.1694 43.6767 32.4683
115000 49.5141 82.7057 68.0452
116000 -13.8971 26.8904 32.2354
117000 8.7933 25.5069 30.7095
118000 -5.07472 32.5026 -6.2968
119000 32.5598 -8.38038 -11.4108
120000 8.85501 40.418 -13.5571
121000 2.49847 33.0968 7.22709
122000 -42.2715 -1.25985 -39.9538
123000 -0.167911 -18.8274 -20.6911
124000 -2.86412 -3.02552 -24.749
125000 -24.09 -54.8612 -35.0348
126000 -38.5603 -53.6557 -31.2348
127000 -33.7364 -83.4201 -73.1759
128000 -87.0304 -89.7345 -52.9381
129000 -85.1842 -60.8767 -56.4206
130000 -44.4751 -26.2106 -43.8093
131000 -47.0284 -34.7714 -21.5255
132000 -41.8086 -31.6585 -23.0235
133000 -63.8122 -67.9968 -43.1066
134000 -70.2948 -76.5394 -72.084
135000 -73.0075 -69.1894 -11.8145
136000 -38.399 -67.7679 -21.7576
137000 -38.6713 -38.3949 -45.3976
138000 -5.40214 -31.017 -35.1064
139000 -45.5214 -8.40861 -11.553
140000 -24.1072 -17.4425 -23.9048
141000 -54.281 -42.2596 -26.8373
142000 -19.2034 -6.68347 -0.486147
143000 -12.021 1.46934 -19.1759
144000 8.49116 44.5622 36.6069
145000 12.7289 -24.7122 9.9813
146000 -32.3798 -44.8782 58.591
147000 -15.7965 14.3236 29.6409
148000 -12.9549 46.6997 38.8969
149000 49.9104 15.3828 37.1292
150000 -19.3779 -16.659 25.6654
151000 9.8321 12.3864 38.8918
152000 1.31002 37.4025 4.20351
153000 39.7263 42.9382 31.6816
154000 47.2819 30.4903 29.1889
155000 2.7856 16.1853 35.1576
156000 27.5589 -6.69792 33.38
157000 36.5661 38.3345 21.2062
158000 34.198 23.3825 23.3145
159000 -24.4993 7.24557 19.7249
160000 28.2464 32.2285 44.8003
161000 44.46 53.8606 19.5421
162000 -23.0229 18.8833 -4.0526
163000 54.958 22.3585 7.00634
164000 16.935 8.79126 52.2705
165000 24.0817 31.6237 14.9652
166000 -47.7843 -53.3146 9.34818
167000 -27.9697 -12.3248 -5.70692
168000 -6.75166 7.04796 6.99528
169000 -21.6086 6.60742 8.44321
170000 -1.74809 -27.8802 13.7003
171000 26.6891 -26.5693 39.6889
172000 -38.171 -22.0015 -11.486
173000 20.8801 -30.6881 -4.49971
174000 -45.5051 -56.5462 -14.1817
175000 -40.1867 -73.1785 -45.1601
176000 -40.0632 -36.1156 -23.5722
177000 -28.0501 -52.0877 -13.3279
178000 -37.5084 17.5345 -5.68959
179000 -72.0942 -67.2098 -41.256
180000 -0.196374 -57.1155 -40.4495
181000 -44.2839 -54.8229 -36.9644
182000 -71.3211 -50.1396 -58.112
183000 -70.429 -84.607 -73.3723
184000 -36.681 -71.2823 -21.0214
185000 -29.7013 -16.1446 10.0941
186000 -35.1363 -22.6457 -7.87273
187000 -6.35735 -1.72296 10.1453
188000 -5.42363 1.88216 38.8367
189000 4.44477 14.5069 16.8946
190000 13.7064 15.8312 22.2103
191000 44.1729 26.5557 41.5567
192000 -12.028 0.105295 -5.2115
193000 45.2638 7.12899 24.856
194000 50.8769 34.2141 48.7339
195000 48.5486 21.7184 74.5578
196000 21.303 9.49972 47.4719
197000 16.7585 -4.86617 12.7471
198000 27.7012 53.0265 39.271
199000 50.6909 24.9895 3.34165
200000 8.46058 12.9625 3.96117
