# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050.000000000003
  1 0.005 2.89 0.0182701
  2 0.015 4.31 0.0269734
  3 0.025 6.66 0.0429218
  4 0.035 8.09 0.0508836
  5 0.045 3.19 0.0206216
  6 0.055 1.86 0.0116096
  7 0.065 0 0
  8 0.075 0 0
  9 0.085 0.34 0.00217986
  10 0.095 2.5 0.0157443
  11 0.105 0.16 0.00110698
  12 0.115 0 0
  13 0.125 2.11 0.0132702
  14 0.135 4.4 0.0281135
  15 0.145 5.75 0.0364706
  16 0.155 3.63 0.0233899
  17 0.165 2.11 0.0129425
  18 0.175 0.26 0.00179885
  19 0.185 2.73 0.0171631
  20 0.195 3.73 0.0229778
  21 0.205 2.28 0.0151536
  22 0.215 0 0
  23 0.225 0 0
  24 0.235 0 0
  25 0.245 1.75 0.0112452
  26 0.255 1.25 0.0077859
  27 0.265 1.39 0.00894424
  28 0.275 4.61 0.0288075
  29 0.285 3 0.0193416
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0 0
  33 0.325 0 0
  34 0.335 4.7 0.0323107
  35 0.345 84.8 0.538855
  36 0.355 200.13 1.26477
  37 0.365 220.12 1.39671
  38 0.375 240 1.52109
  39 0.385 239.24 1.52127
  40 0.395 247.71 1.56973
  41 0.405 227.01 1.4391
  42 0.415 230.5 1.46496
  43 0.425 234.09 1.47988
  44 0.435 229.38 1.4614
  45 0.445 224.06 1.4208
  46 0.455 247.06 1.56323
  47 0.465 230.85 1.46503
  48 0.475 228.31 1.45346
  49 0.485 229.62 1.45212
  50 0.495 194.3 1.23194
  51 0.505 164.17 1.0459
  52 0.515 210.33 1.32946
  53 0.525 211.99 1.34639
  54 0.535 226.3 1.43741
  55 0.545 233.79 1.48032
  56 0.555 229 1.45427
  57 0.565 223.21 1.41918
  58 0.575 234.98 1.48695
  59 0.585 248.01 1.57153
  60 0.595 234.77 1.4946
  61 0.605 236.39 1.49375
  62 0.615 242.51 1.53835
  63 0.625 236.03 1.5024
  64 0.635 222.53 1.41043
  65 0.645 192.22 1.21506
  66 0.655 44.46 0.284973
  67 0.665 0.43 0.00297502
  68 0.675 0 0
  69 0.685 0 0
  70 0.695 0 0
  71 0.705 3.45 0.0214891
  72 0.715 2.55 0.0165732
  73 0.725 3 0.0190311
