# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
0 1.42109e-14 1.11022e-14 6.10623e-16 1.37406e-19 1.07348e-19 5.90417e-21
1000 -7.54952e-15 -1.11022e-14 1.05915e-13 -7.2997e-20 -1.07348e-19 1.0241e-18
2000 2.30926e-14 9.10383e-15 -2.21601e-13 2.23285e-19 8.80258e-20 -2.14268e-18
3000 -1.02141e-14 -1.11022e-16 -1.13687e-13 -9.87606e-20 -1.07348e-21 -1.09925e-18
4000 -1.06581e-14 4.66294e-15 2.22933e-13 -1.03055e-19 4.50864e-20 2.15556e-18
5000 -4.44089e-15 -3.77476e-15 -4.22995e-14 -4.29394e-20 -3.64985e-20 -4.08998e-19
6000 4.32987e-15 3.55271e-15 -5.8023e-14 4.18659e-20 3.43515e-20 -5.6103e-19
7000 5.32907e-15 4.08701e-15 2.20712e-13 5.15273e-20 3.95177e-20 2.13409e-18
8000 -2.30926e-14 -9.32587e-15 1.28342e-13 -2.23285e-19 -9.01727e-20 1.24095e-18
9000 -2.30926e-14 1.22125e-15 -7.9492e-14 -2.23285e-19 1.18083e-20 -7.68615e-19
10000 1.11022e-15 -7.77156e-16 8.17124e-14 1.07348e-20 -7.51439e-21 7.90085e-19
11000 3.55271e-15 1.58762e-14 -1.09579e-13 3.43515e-20 1.53508e-19 -1.05953e-18
12000 4.21885e-15 -9.76996e-15 2.45359e-14 4.07924e-20 -9.44667e-20 2.3724e-19
13000 -4.32987e-15 1.90958e-14 -5.24025e-14 -4.18659e-20 1.84639e-19 -5.06685e-19
14000 1.37668e-14 -1.4877e-14 1.64313e-14 1.33112e-19 -1.43847e-19 1.58876e-19
15000 -1.80966e-14 6.60583e-15 -5.28466e-14 -1.74978e-19 6.38724e-20 -5.10979e-19
16000 1.55431e-15 1.64313e-14 -2.79776e-14 1.50288e-20 1.58876e-19 -2.70518e-19
17000 3.94129e-15 7.99361e-15 -5.59552e-14 3.81087e-20 7.72909e-20 -5.41036e-19
18000 6.88338e-15 -1.06026e-14 7.10543e-15 6.65561e-20 -1.02518e-19 6.8703e-20
19000 -1.46549e-14 1.33227e-15 -1.66533e-14 -1.417e-19 1.28818e-20 -1.61023e-19
20000 5.77316e-15 -1.28786e-14 -5.06262e-14 5.58212e-20 -1.24524e-19 -4.89509e-19
21000 2.33147e-15 -1.62925e-14 3.10862e-15 2.25432e-20 -1.57534e-19 3.00576e-20
22000 -1.66533e-14 3.10862e-15 -8.10463e-14 -1.61023e-19 3.00576e-20 -7.83644e-19
23000 -1.33227e-15 1.77636e-15 -2.84217e-14 -1.28818e-20 1.71758e-20 -2.74812e-19
24000 8.88178e-15 2.35367e-14 -5.81757e-14 8.58788e-20 2.27579e-19 -5.62506e-19
25000 1.95399e-14 -1.5099e-14 7.92699e-14 1.88933e-19 -1.45994e-19 7.66468e-19
26000 -2.13163e-14 4.26326e-14 -6.68354e-14 -2.06109e-19 4.12218e-19 -6.46238e-19
27000 3.9968e-15 -1.33227e-14 -4.88498e-15 3.86455e-20 -1.28818e-19 -4.72333e-20
28000 -2.84217e-14 -2.22045e-15 3.20854e-14 -2.74812e-19 -2.14697e-20 3.10237e-19
29000 8.65974e-15 -3.55271e-15 -2.45359e-14 8.37318e-20 -3.43515e-20 -2.3724e-19
30000 -1.46549e-14 9.76996e-15 -3.33067e-15 -1.417e-19 9.44667e-20 -3.22045e-20
31000 1.24345e-14 -1.31006e-14 -3.37508e-14 1.2023e-19 -1.26671e-19 -3.26339e-19
32000 -3.77476e-15 1.11022e-14 4.44089e-16 -3.64985e-20 1.07348e-19 4.29394e-21
33000 1.02141e-14 2.22045e-16 3.15303e-14 9.87606e-20 2.14697e-21 3.0487e-19
34000 -9.32587e-15 9.54792e-15 -4.08562e-14 -9.01727e-20 9.23197e-20 -3.95042e-19
35000 -5.21805e-15 -3.9968e-15 -7.99361e-15 -5.04538e-20 -3.86455e-20 -7.72909e-20
36000 -1.46549e-14 -7.54952e-15 6.18394e-14 -1.417e-19 -7.2997e-20 5.97931e-19
37000 -2.66454e-15 -1.64313e-14 6.9722e-14 -2.57636e-20 -1.58876e-19 6.74149e-19
38000 1.47382e-14 -5.32907e-15 5.34017e-14 1.42505e-19 -5.15273e-20 5.16346e-19
39000 -8.54872e-15 -1.44329e-15 -1.77636e-14 -8.26583e-20 -1.39553e-20 -1.71758e-19
40000 -1.35447e-14 -6.38378e-15 -5.10703e-15 -1.30965e-19 -6.17254e-20 -4.93803e-20
41000 -7.32747e-15 5.55112e-16 -1.33227e-15 -7.085e-20 5.36742e-21 -1.28818e-20
42000 6.66134e-15 1.08802e-14 -1.9984e-14 6.44091e-20 1.05202e-19 -1.93227e-19
43000 6.21725e-15 2.9976e-14 4.32987e-14 6.01152e-20 2.89841e-19 4.18659e-19
44000 6.88338e-15 3.30985e-15 -4.29656e-14 6.65561e-20 3.20033e-20 -4.15439e-19
45000 -1.62925e-14 2.88658e-15 -9.76996e-15 -1.57534e-19 2.79106e-20 -9.44667e-20
46000 1.59872e-14 -6.43929e-15 4.4631e-14 1.54582e-19 -6.22621e-20 4.31541e-19
47000 -1.28786e-14 4.92661e-16 -1.44329e-15 -1.24524e-19 4.76359e-21 -1.39553e-20
48000 -7.99361e-15 -8.07687e-15 2.60902e-14 -7.72909e-20 -7.8096e-20 2.52269e-19
49000 -1.24345e-14 2.77556e-15 1.39888e-14 -1.2023e-19 2.68371e-20 1.35259e-19
50000 4.996e-15 3.77476e-15 -7.54952e-14 4.83068e-20 3.64985e-20 -7.2997e-19
51000 5.82867e-15 -1.02141e-14 7.99361e-15 5.6358e-20 -9.87606e-20 7.72909e-20
52000 2.22045e-15 7.10543e-15 1.75415e-14 2.14697e-20 6.8703e-20 1.69611e-19
53000 8.88178e-16 4.88498e-14 -2.63747e-14 8.58788e-21 4.72333e-19 -2.5502e-19
54000 -3.9968e-15 2.39808e-14 -4.84057e-14 -3.86455e-20 2.31873e-19 -4.68039e-19
55000 -2.22045e-16 -1.15463e-14 2.66454e-14 -2.14697e-21 -1.11642e-19 2.57636e-19
56000 1.28786e-14 5.55112e-15 -8.88178e-15 1.24524e-19 5.36742e-20 -8.58788e-20
57000 3.9968e-15 -8.88178e-16 4.79616e-14 3.86455e-20 -8.58788e-21 4.63745e-19
58000 -2.30926e-14 -1.18794e-14 1.15463e-14 -2.23285e-19 -1.14863e-19 1.11642e-19
