# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
0 220 283.849 4622.58 -12020.5 -7397.89 0 -7397.89
1000 220.604 1615.47 4635.27 -8007.11 -3371.84 -4020.06 -7391.9
2000 198.192 1634.86 4164.37 -6961.39 -2797.02 -4589.95 -7386.97
3000 211.544 -261.947 4444.9 -6814.6 -2369.7 -5018.49 -7388.19
4000 226.411 188.373 4757.29 -7043.12 -2285.84 -5106.67 -7392.51
5000 222.119 317.145 4667.1 -6853.46 -2186.36 -5206.01 -7392.37
6000 215.147 -133.249 4520.61 -6381.28 -1860.67 -5529.17 -7389.84
7000 213.121 -260.08 4478.04 -6216.36 -1738.32 -5650.99 -7389.31
8000 216.112 -262.922 4540.89 -6103.53 -1562.64 -5828.05 -7390.69
9000 222.779 -174.808 4680.97 -5911.92 -1230.95 -6159.96 -7390.91
10000 217.119 -202.934 4562.04 -5586.48 -1024.44 -6365.11 -7389.56
11000 218.762 -254.418 4596.57 -5395.2 -798.63 -6590.44 -7389.07
12000 218.754 -305.952 4596.4 -5377.19 -780.792 -6609.01 -7389.8
13000 222.972 -440.996 4685.02 -5301.94 -616.918 -6772.84 -7389.76
14000 224.691 -56.3149 4721.14 -5361.87 -640.729 -6748.58 -7389.31
15000 220.989 159.415 4643.35 -5256.74 -613.392 -6775.56 -7388.96
16000 219.676 -319.262 4615.78 -5298.25 -682.473 -6706.79 -7389.27
17000 221.483 -225.7 4653.75 -5360.7 -706.954 -6682.75 -7389.7
18000 221.398 101.369 4651.96 -5443.34 -791.383 -6598.28 -7389.67
19000 218.135 13.4287 4583.39 -5397.42 -814.024 -6575.48 -7389.5
20000 220.145 5.89446 4625.62 -5513.97 -888.35 -6501.46 -7389.81
21000 218.356 -149.381 4588.03 -5663.54 -1075.51 -6314.51 -7390.03
22000 219.756 -42.7331 4617.45 -5690.62 -1073.17 -6316.87 -7390.05
23000 216.877 105.45 4556.96 -5688.64 -1131.68 -6258.3 -7389.98
24000 216.505 31.9893 4549.15 -5638.96 -1089.81 -6299.93 -7389.75
25000 218.744 -0.267999 4596.19 -5586.55 -990.353 -6399.42 -7389.77
26000 218.881 137.809 4599.06 -5548.19 -949.131 -6440.74 -7389.87
27000 219.866 175.215 4619.77 -5544.93 -925.161 -6464.61 -7389.77
28000 220.105 -99.4207 4624.79 -5576.26 -951.462 -6438.49 -7389.95
29000 218.704 -143.919 4595.34 -5487.53 -892.185 -6497.63 -7389.82
30000 216.771 87.1372 4554.74 -5539.01 -984.266 -6405.71 -7389.97
31000 220.939 205.106 4642.3 -5410.59 -768.288 -6621.49 -7389.78
32000 217.972 -318.28 4579.96 -5498.41 -918.451 -6471.37 -7389.82
33000 217.566 -154.453 4571.44 -5517.19 -945.75 -6444.11 -7389.85
34000 223.612 103.35 4698.47 -5479.1 -780.621 -6609.23 -7389.85
35000 220.675 -11.2131 4636.75 -5466.66 -829.909 -6559.66 -7389.57
36000 215.203 -221.537 4521.79 -5446.7 -924.909 -6464.7 -7389.61
37000 215.981 88.6027 4538.14 -5447.01 -908.866 -6480.73 -7389.6
38000 219.727 104.557 4616.84 -5408.8 -791.954 -6597.71 -7389.66
39000 219.596 -69.8003 4614.09 -5404.41 -790.32 -6599.2 -7389.52
40000 218.604 -214.341 4593.25 -5422.88 -829.63 -6559.75 -7389.38
41000 222.001 -138.477 4664.63 -5481.07 -816.44 -6573.01 -7389.45
42000 223.402 -313.437 4694.07 -5467.25 -773.184 -6616.32 -7389.5
43000 224.803 77.3856 4723.5 -5441.77 -718.27 -6671.02 -7389.29
44000 219.921 289.68 4620.91 -5467.4 -846.482 -6542.78 -7389.26
45000 220.527 -92.0722 4633.66 -5470.44 -836.781 -6553.02 -7389.8
46000 221.596 -314.477 4656.12 -5442.92 -786.807 -6602.92 -7389.73
47000 218.555 1.70177 4592.23 -5322.03 -729.801 -6659.19 -7388.99
48000 220.905 190.406 4641.59 -5410.71 -769.122 -6620.05 -7389.17
49000 221.412 -44.0098 4652.25 -5394.02 -741.77 -6647.72 -7389.49
50000 220.296 216.116 4628.8 -5375.68 -746.887 -6642.34 -7389.22
51000 214.397 -65.4981 4504.85 -5363.44 -858.591 -6530.74 -7389.33
52000 220.41 -170.725 4631.21 -5448.61 -817.408 -6571.92 -7389.33
53000 219.113 -237.03 4603.94 -5418.52 -814.579 -6574.63 -7389.21
54000 221.278 39.9936 4649.43 -5398.72 -749.288 -6639.82 -7389.1
55000 215.018 -154.839 4517.9 -5443.06 -925.165 -6464.03 -7389.19
56000 218.558 115.591 4592.28 -5455.54 -863.259 -6525.71 -7388.97
57000 219.682 90.6371 4615.89 -5365.17 -749.277 -6639.53 -7388.81
58000 222.86 -4.50153 4682.67 -5400.74 -718.067 -6670.9 -7388.96
59000 217.084 -74.2995 4561.32 -5359.88 -798.565 -6590.29 -7388.85
60000 216.963 2.99464 4558.77 -5443.52 -884.749 -6503.79 -7388.53
61000 220.694 32.2427 4637.16 -5390.5 -753.344 -6635.39 -7388.73
62000 217.711 -212.327 4574.48 -5350.46 -775.979 -6612.56 -7388.54
63000 219.661 -74.484 4615.47 -5447.1 -831.635 -6557.12 -7388.76
64000 222.18 45.9559 4668.39 -5323.32 -654.932 -6733.48 -7388.41
65000 220.1 97.2873 4624.69 -5349.28 -724.593 -6663.65 -7388.25
66000 218.446 -114.145 4589.92 -5418.21 -828.283 -6560.24 -7388.52
67000 216.996 -178.727 4559.46 -5451.23 -891.764 -6496.87 -7388.63
68000 216.265 51.9602 4544.1 -5430.29 -886.188 -6502.2 -7388.38
69000 219.316 -88.4983 4608.21 -5388.47 -780.26 -6608.2 -7388.46
70000 220.512 -101.765 4633.34 -5378.01 -744.661 -6643.82 -7388.48
71000 224.369 127.333 4714.37 -5417.76 -703.385 -6685.26 -7388.65
72000 219.402 -34.7803 4610.02 -5364.18 -754.168 -6634.48 -7388.65
73000 217.209 -210.684 4563.94 -5363.23 -799.283 -6588.8 -7388.08
74000 224.906 30.0411 4725.67 -5387.04 -661.374 -6727.04 -7388.42
75000 219.283 29.8449 4607.52 -5425.02 -817.494 -6570.68 -7388.17
76000 216.037 26.5694 4539.3 -5396.92 -857.618 -6530.53 -7388.15
77000 215.776 58.6012 4533.83 -5363.99 -830.153 -6558.15 -7388.3
78000 219.742 68.9581 4617.16 -5360.65 -743.49 -6644.57 -7388.06
79000 217.654 -86.2257 4573.28 -5349.97 -776.688 -6611.32 -7388.01
80000 223.034 22.4127 4686.33 -5470.92 -784.595 -6603.32 -7387.91
81000 217.502 21.9269 4570.1 -5372.21 -802.116 -6585.79 -7387.91
82000 223.664 204.612 4699.56 -5426.34 -726.779 -6661.19 -7387.97
83000 218.643 122.182 4594.08 -5353.58 -759.501 -6628.24 -7387.74
84000 219.699 -213.88 4616.25 -5391.93 -775.684 -6612.01 -7387.7
85000 220.437 -355.408 4631.77 -5378.07 -746.301 -6641.49 -7387.79
86000 216.895 29.3932 4557.34 -5391.13 -833.793 -6554.19 -7387.99
87000 222.744 -13.5197 4680.24 -5359.08 -678.839 -6709.12 -7387.96
88000 221.302 -337.704 4649.94 -5354.61 -704.666 -6683.05 -7387.72
89000 217.899 -13.0649 4578.43 -5271.87 -693.441 -6694.24 -7387.68
90000 219.934 17.7476 4621.2 -5342.13 -720.928 -6667 -7387.92
91000 219.312 50.4736 4608.13 -5299.86 -691.722 -6696.11 -7387.83
92000 221.879 56.9402 4662.07 -5336.4 -674.335 -6713.51 -7387.85
93000 220.429 75.142 4631.59 -5392.18 -760.589 -6627.18 -7387.77
94000 217.907 -101.35 4578.6 -5350.87 -772.267 -6615.42 -7387.69
95000 218.673 -158.873 4594.69 -5380.61 -785.922 -6601.74 -7387.66
96000 219.979 -134.736 4622.14 -5447.7 -825.565 -6562.3 -7387.87
97000 219.823 -133.527 4618.86 -5333.25 -714.392 -6673.56 -7387.95
98000 222.339 66.6971 4671.72 -5333.5 -661.782 -6726.05 -7387.83
99000 219.248 -140.92 4606.78 -5401.5 -794.724 -6593.33 -7388.05
100000 217.534 -112.965 4570.76 -5454.39 -883.627 -6504.64 -7388.27
101000 223.842 -87.2695 4703.31 -5546.66 -843.347 -6544.91 -7388.26
102000 219.107 133.439 4603.81 -5515.25 -911.44 -6476.48 -7387.92
103000 222.023 78.8043 4665.08 -5429.75 -764.67 -6623.27 -7387.94
104000 221.292 -259.254 4649.73 -5433.28 -783.552 -6604.38 -7387.94
105000 219.17 -10.5067 4605.13 -5420.04 -814.91 -6572.85 -7387.76
106000 217.121 73.6624 4562.08 -5403.98 -841.896 -6545.79 -7387.69
107000 220.868 -22.7901 4640.81 -5449.92 -809.109 -6578.72 -7387.83
108000 221.347 76.2263 4650.89 -5367.78 -716.896 -6670.64 -7387.54
109000 219.226 60.3168 4606.32 -5404.69 -798.368 -6588.96 -7387.33
110000 219.551 -166.837 4613.14 -5390.52 -777.387 -6610.13 -7387.51
111000 220.116 -111.047 4625.02 -5353.04 -728.017 -6659.61 -7387.63
112000 221.256 57.9226 4648.97 -5446 -797.031 -6590.56 -7387.59
113000 217.506 -336.757 4570.17 -5486.06 -915.887 -6471.6 -7387.49
114000 220.094 -7.96919 4624.56 -5277.88 -653.315 -6733.78 -7387.09
115000 222.162 103.242 4668.01 -5428.82 -760.814 -6626.26 -7387.07
116000 220.331 -99.0578 4629.54 -5356.56 -727.028 -6660.08 -7387.11
117000 222.07 -3.70241 4666.08 -5356.82 -690.745 -6696.62 -7387.36
118000 218.998 -65.2478 4601.54 -5435.1 -833.565 -6553.67 -7387.23
119000 220.451 -208.967 4632.06 -5418.03 -785.966 -6601.26 -7387.22
120000 224.128 70.3743 4709.32 -5443.45 -734.127 -6653.24 -7387.37
121000 221.041 -31.4349 4644.45 -5410.41 -765.959 -6621.51 -7387.46
122000 220.164 50.6537 4626.04 -5432.59 -806.556 -6580.89 -7387.44
123000 222.611 309.935 4677.44 -5295.83 -618.388 -6768.51 -7386.9
124000 221.055 -104.787 4644.75 -5413.83 -769.074 -6617.95 -7387.02
125000 219.949 -373.294 4621.5 -5409.79 -788.287 -6599.06 -7387.34
126000 218.905 -124.163 4599.57 -5383.45 -783.881 -6603.32 -7387.2
127000 218.933 97.2888 4600.16 -5437.18 -837.02 -6549.96 -7386.98
128000 218.83 160.4 4597.99 -5335.65 -737.658 -6649.08 -7386.73
129000 218.209 -127.079 4584.95 -5455.12 -870.167 -6516.66 -7386.83
130000 224.087 7.1267 4708.45 -5377.74 -669.292 -6717.76 -7387.06
131000 228.302 100.343 4797.03 -5436.63 -639.6 -6747.46 -7387.06
132000 218.922 -190.704 4599.92 -5445.83 -845.907 -6541.01 -7386.91
133000 220.017 -10.8067 4622.95 -5518.47 -895.522 -6491.55 -7387.07
134000 217.464 -66.6256 4569.3 -5557.55 -988.247 -6399.05 -7387.3
135000 218.329 176.341 4587.46 -5486.28 -898.815 -6488.44 -7387.25
136000 223.397 -68.3505 4693.96 -5473.48 -779.516 -6607.62 -7387.13
137000 219.921 54.2069 4620.91 -5399.36 -778.45 -6608.68 -7387.13
138000 220.696 82.3928 4637.2 -5481.93 -844.732 -6542.86 -7387.6
139000 221.854 -82.8354 4661.54 -5409.71 -748.163 -6639.34 -7387.51
140000 223.014 -227.384 4685.91 -5363.1 -677.185 -6709.94 -7387.13
141000 220.448 -140.683 4632 -5394.78 -762.778 -6624.59 -7387.37
142000 221.643 68.9338 4657.1 -5470.57 -813.469 -6573.88 -7387.34
143000 217.781 -60.6038 4575.95 -5454.48 -878.537 -6509.42 -7387.95
144000 220.696 177.945 4637.2 -5313.91 -676.709 -6710.48 -7387.19
145000 217.888 -1.2091 4578.2 -5413.62 -835.417 -6551.98 -7387.39
146000 220.062 -200.037 4623.88 -5452.06 -828.182 -6559.41 -7387.59
147000 223.013 -248.894 4685.88 -5482.61 -796.73 -6591.03 -7387.76
148000 223.62 -118.366 4698.65 -5455.09 -756.445 -6631.15 -7387.6
149000 224.601 218.216 4719.25 -5461.16 -741.908 -6645.41 -7387.32
150000 221.114 -186.678 4646 -5571.2 -925.208 -6462.79 -7388
151000 225.322 284.593 4734.42 -5617.99 -883.571 -6504.35 -7387.92
152000 221.828 7.0845 4660.99 -5673.56 -1012.57 -6375.41 -7387.97
153000 219.591 -372.139 4613.98 -5782.67 -1168.69 -6219.17 -7387.86
154000 218.011 296.792 4580.79 -5768.84 -1188.05 -6199.8 -7387.85
155000 220.692 43.8009 4637.13 -5862.12 -1224.99 -6162.59 -7387.58
156000 219.066 -11.6207 4602.95 -5867.6 -1264.66 -6123.5 -7388.16
157000 218.545 171.053 4592 -5922.91 -1330.91 -6057.42 -7388.32
158000 223.573 341.249 4697.66 -5941.71 -1244.05 -6144.12 -7388.17
159000 219.682 46.6277 4615.91 -5984.31 -1368.4 -6019.72 -7388.12
160000 217.981 112.372 4580.15 -5949.92 -1369.77 -6018.55 -7388.33
161000 217.187 210.888 4563.47 -5898.3 -1334.83 -6053.23 -7388.06
162000 222.878 174.443 4683.06 -5901.9 -1218.84 -6169.8 -7388.64
163000 220.693 29.7417 4637.14 -5859.8 -1222.65 -6165.94 -7388.59
164000 221.934 -41.65 4663.22 -5830.56 -1167.34 -6220.84 -7388.18
165000 222.674 258.348 4678.76 -5852.71 -1173.95 -6214.24 -7388.18
166000 220.213 -31.6033 4627.06 -5776.8 -1149.74 -6238.48 -7388.22
167000 218.677 250.955 4594.78 -5822.4 -1227.63 -6160.68 -7388.31
168000 219.619 -12.8026 4614.57 -5760.52 -1145.95 -6242.24 -7388.19
169000 222.82 -229.098 4681.83 -5648.46 -966.628 -6421.43 -7388.06
170000 219.936 257.216 4621.23 -5656.13 -1034.9 -6353.14 -7388.04
171000 220.999 -53.1986 4643.57 -5642.12 -998.548 -6389.68 -7388.23
172000 222.091 -146.616 4666.52 -5601.11 -934.595 -6453.66 -7388.26
173000 219.271 162.869 4607.26 -5530.16 -922.896 -6464.95 -7387.85
174000 218.27 -271.142 4586.23 -5433.57 -847.338 -6540.06 -7387.4
175000 222.96 -184.9 4684.78 -5470.05 -785.267 -6602.43 -7387.69
176000 219.265 -276.759 4607.13 -5372.53 -765.404 -6622.06 -7387.46
177000 220.158 -158.83 4625.9 -5418.3 -792.401 -6594.96 -7387.36
178000 221.262 -145.694 4649.09 -5473.84 -824.755 -6562.95 -7387.71
179000 220.209 -402.821 4626.96 -5355.28 -728.319 -6659.35 -7387.67
180000 216.066 -65.4407 4539.91 -5314.62 -774.712 -6612.98 -7387.69
181000 220.204 127.075 4626.86 -5357.93 -731.074 -6656.01 -7387.08
182000 220.516 -349.942 4633.42 -5396.5 -763.076 -6624.17 -7387.24
183000 219.523 -106.494 4612.56 -5394.95 -782.388 -6605.01 -7387.4
184000 222.025 59.2598 4665.12 -5462.54 -797.424 -6590.13 -7387.55
185000 222.049 -22.7067 4665.64 -5436.2 -770.564 -6616.88 -7387.45
186000 222.35 -92.8394 4671.97 -5423.39 -751.423 -6635.91 -7387.34
187000 219.481 -64.3123 4611.67 -5499.22 -887.55 -6499.93 -7387.48
188000 221.242 -191.804 4648.67 -5468.56 -819.894 -6567.86 -7387.75
189000 220.931 165.411 4642.15 -5570.68 -928.529 -6459.38 -7387.91
190000 216.562 -50.7629 4550.34 -5536.16 -985.815 -6402.11 -7387.93
191000 220.279 -203.416 4628.44 -5660.8 -1032.36 -6356.18 -7388.54
192000 218.759 -85.9991 4596.5 -5590.37 -993.876 -6394.27 -7388.14
193000 222.803 53.7232 4681.48 -5590.14 -908.661 -6479.28 -7387.94
194000 224.951 104.885 4726.6 -5623.73 -897.124 -6490.72 -7387.84
